unique_id,forum_id,thread_id,post_id,title,unique_user_id,username,datetime,is_it_a_reply,reply_to,post_content,post_link
171110,6,4a7e7fc468f36f564601cb6d8086b774,p12409,Nord User FAQ / List of Important Topics,2,Johannes,2012-01-26T10:30:47+00:00,False,,Dear all:This topic is supposed to collect the most important and relevant topics in order to provide a quick overview of mostly discussed issues on this forum.It can also be seen as a user created Nord FAQ with a focus on how to efficiently use your instruments.Be sure to check out the official Nord FAQ athttp://www.nordkeyboards.com/main.asp?t ... t&clsm=FAQwhich is very useful in troubleshooting common problems!General NORD FAQThis FAQ has been moved to its new place here:http://www.norduserforum.com/nord-user-faq.phpFeel free to comment or reply here if you think there are some items missing or you want to contribute some (in which case you will be granted the access information to edit the FAQs)!,https://www.norduserforum.com/viewtopic.php?p=12409&sid=4a7e7fc468f36f564601cb6d8086b774#p12409
171111,6,4a7e7fc468f36f564601cb6d8086b774,p12410,RE: Nord User FAQ / List of Important Topics,2,Johannes,2012-01-26T10:35:36+00:00,True,https://www.norduserforum.com/viewtopic.php?p=12409&sid=4a7e7fc468f36f564601cb6d8086b774#p12409,"This FAQ/List of important topics is an ongoing project and still needs to catch up with the past three years of relevant topics.Therefore, this topic will be edited as we go while the replies to this topic are considered as only temporary and should be integrated in the first topic to keep it up to date.Everyone is invited to reply to this topic proposing new/useful information or links to older existing threads that should be integrated.To edit the actual first topic, interested users can become ""FAQ Editors"" with the right to edit this topic. If you want to contribute, please PM one of theteam membersto get access to edit this posts.Thanks to everyone for their participation and if you have any comments/questions please reply to this thread!The Team",https://www.norduserforum.com/viewtopic.php?p=12410&sid=4a7e7fc468f36f564601cb6d8086b774#p12410
171112,6,4a7e7fc468f36f564601cb6d8086b774,p158698,RE: Nord User FAQ / List of Important Topics,24528,23skidoo,2022-12-14T21:01:09+00:00,True,https://www.norduserforum.com/viewtopic.php?p=12409&sid=4a7e7fc468f36f564601cb6d8086b774#p12409,Any chance we could add a link togeneral-nord-forum-f29/converting-nords ... 23084.htmlto the FAQ for power switching between 120V and 240V nominal systems? It seems to get asked time and again in each sub-forum.,https://www.norduserforum.com/viewtopic.php?p=158698&sid=4a7e7fc468f36f564601cb6d8086b774#p158698
171113,6,4a7e7fc468f36f564601cb6d8086b774,p180533,Roland V-Stage,27696,Jeffmac,2025-01-21T20:06:39+00:00,False,,"I guess the NS4 fader layout makes it slightly less of a direct ""appropriation"" of the Stage ethos on this...https://www.sweetwater.com/store/detail ... tage-pianoI haven't downloaded the manual yet but it looks like one layer of each and that synth section is barely above the preset level. Having said that, I loved the piano sounds on my RD2000 but at nearly 50 pounds they continue to make obscenely heavy products. Too heavy for me.",https://www.norduserforum.com/viewtopic.php?p=180533&sid=4a7e7fc468f36f564601cb6d8086b774#p180533
171114,6,4a7e7fc468f36f564601cb6d8086b774,p180535,RE: Roland V-Stage,36063,Nordine,2025-01-21T20:37:57+00:00,True,https://www.norduserforum.com/viewtopic.php?p=180533&sid=4a7e7fc468f36f564601cb6d8086b774#p180533,This looks like an enhanced Nord Electro!  the keyboard seems to be an incredible instrument....but..... I prefer Nord for the sound quality and keyb.,https://www.norduserforum.com/viewtopic.php?p=180535&sid=4a7e7fc468f36f564601cb6d8086b774#p180535
171115,6,4a7e7fc468f36f564601cb6d8086b774,p180536,RE: Roland V-Stage,9483,spradders,2025-01-21T20:45:06+00:00,True,https://www.norduserforum.com/viewtopic.php?p=180533&sid=4a7e7fc468f36f564601cb6d8086b774#p180533,Oh there's a VStage 76 too... semi-weighted waterfall... I was a Roland devotee for 2 decades... sure it won't tempt me away from the NS4 compact but I'm very excited to try it!,https://www.norduserforum.com/viewtopic.php?p=180536&sid=4a7e7fc468f36f564601cb6d8086b774#p180536
171116,6,4a7e7fc468f36f564601cb6d8086b774,p180537,RE: Roland V-Stage,36063,Nordine,2025-01-21T21:09:59+00:00,True,https://www.norduserforum.com/viewtopic.php?p=180533&sid=4a7e7fc468f36f564601cb6d8086b774#p180533,,https://www.norduserforum.com/viewtopic.php?p=180537&sid=4a7e7fc468f36f564601cb6d8086b774#p180537
171117,6,4a7e7fc468f36f564601cb6d8086b774,p180541,RE: Roland V-Stage,27858,FZiegler,2025-01-21T22:24:38+00:00,True,https://www.norduserforum.com/viewtopic.php?p=180533&sid=4a7e7fc468f36f564601cb6d8086b774#p180533,"According to the video, this thing is much more than an Electro - totally competes with a Stage 4. Even makes setlists available. Soundwise just a different approach: hardware knobs for some values (more for EP than AP), in-depth sound designers for AP and EP down in the menu.It has 4 engines, but that's not the number of layers. Depending on how you should count them, there are 3 organ (upper, lower, ped), 1 AP, 1 EP and 2 synth layers. Free split points (viewable on the display), audio interface - class compliant stereo sound or dedicated driver for transport of each engine's sound on its own.",https://www.norduserforum.com/viewtopic.php?p=180541&sid=4a7e7fc468f36f564601cb6d8086b774#p180541
171118,6,4a7e7fc468f36f564601cb6d8086b774,p180544,RE: Roland V-Stage,6115,cphollis,2025-01-22T04:06:21+00:00,True,https://www.norduserforum.com/viewtopic.php?p=180533&sid=4a7e7fc468f36f564601cb6d8086b774#p180533,"I've gone through all the available videos.Things I liked:- much better i/o- deep dives on the sound engines parameters- very advanced FX section (multiband compressors!)- big color screen (wonder how it does in direct sunlight?)- enhanced EP section - something Nord is weak on- great price for what you getThings I didn't like:- inadequate synth section- didn't warm up to the organ section- the V-Piano has its a distinct inorganic sound which doesn't suit meI came away thinking ""wow, what a great board for the money"" and at the same time ""not for me"" as I didn't really embrace many of the sounds I heard.  Then again, its substantial tweakability means there's probably better there than I heard.",https://www.norduserforum.com/viewtopic.php?p=180544&sid=4a7e7fc468f36f564601cb6d8086b774#p180544
171119,6,4a7e7fc468f36f564601cb6d8086b774,p180547,RE: Roland V-Stage,36063,Nordine,2025-01-22T08:05:11+00:00,True,https://www.norduserforum.com/viewtopic.php?p=180533&sid=4a7e7fc468f36f564601cb6d8086b774#p180533,"Well I think that this will teach Clavia how to make the future Nord Stage 5 some years later, (I might go crazy with the synth engine) especially if they could emulate a Z1 inside. —JK.",https://www.norduserforum.com/viewtopic.php?p=180547&sid=4a7e7fc468f36f564601cb6d8086b774#p180547
171120,6,4a7e7fc468f36f564601cb6d8086b774,p180548,RE: Roland V-Stage,1140,maxpiano,2025-01-22T09:00:28+00:00,True,https://www.norduserforum.com/viewtopic.php?p=180533&sid=4a7e7fc468f36f564601cb6d8086b774#p180533,"cpholliswrote:↑22 Jan 2025, 06:06Things I didn't like:- inadequate synth sectionAbout that Roland says that V-Stage registered owners will get 4 additional Zen-core synth models for free:ZEN-Core Synthesizer engine with over 400 onboard sounds and support for SDZ Sound Packs and Model Expansions on Roland Cloud (JUPITER-8, JUNO-106, JX-8P, and SH-101 Model Expansion titles are free downloads for registered V-STAGE owners)https://www.roland.com/global/promos/v-stage_series/",https://www.norduserforum.com/viewtopic.php?p=180548&sid=4a7e7fc468f36f564601cb6d8086b774#p180548
171121,6,4a7e7fc468f36f564601cb6d8086b774,p180549,RE: Roland V-Stage,12402,Tasten-Bert,2025-01-22T10:33:31+00:00,True,https://www.norduserforum.com/viewtopic.php?p=180533&sid=4a7e7fc468f36f564601cb6d8086b774#p180533,"That‘s at least interesting. I must admit that even I‘m not watching out for any new keyboard I feel the desire to test this Roland. I had several fantoms, a VR-760, U20 and D20, most of them with additional SRX cards, and I do remember the good saxes, a lovely blues harp, string pizzicati and celli, a good enough piano for live acts and perhaps more. Ah, yes, the Djou djou scat voice which I miss since then. And all the sample sounds were touch sensitive. Puh, it will get tough for me to resist.But, as said, I‘m not searching …Cheers from Germany",https://www.norduserforum.com/viewtopic.php?p=180549&sid=4a7e7fc468f36f564601cb6d8086b774#p180549
171122,6,4a7e7fc468f36f564601cb6d8086b774,p180558,RE: Roland V-Stage,39677,M_a_c,2025-01-22T14:23:58+00:00,True,https://www.norduserforum.com/viewtopic.php?p=180533&sid=4a7e7fc468f36f564601cb6d8086b774#p180533,"Tasten-Bertwrote:↑22 Jan 2025, 12:33But, as said, I‘m not searching …Be honest - it´s the endless Hunt...",https://www.norduserforum.com/viewtopic.php?p=180558&sid=4a7e7fc468f36f564601cb6d8086b774#p180558
171123,6,4a7e7fc468f36f564601cb6d8086b774,p182071,RE: Roland V-Stage,552,anotherscott,2025-04-07T16:03:54+00:00,True,https://www.norduserforum.com/viewtopic.php?p=180533&sid=4a7e7fc468f36f564601cb6d8086b774#p180533,"Some things not mentioned here yet... V-Stage has aftertouch, and its non-piano acoustic instrument samples should generally be better than Nord's because they're not limited to a single velocity layer. It looks like all 5 parts of a scene (its equivalent to a Nord program) can be set to be internaI, external, or both, though the MIDI settings do not seem as customizable. I don't think its organ has high trigger.Personally, the fact that the 76 is 10+ lbs heavier than the NS4 Compact put it out of the running for me right there.",https://www.norduserforum.com/viewtopic.php?p=182071&sid=4a7e7fc468f36f564601cb6d8086b774#p182071
171124,6,4a7e7fc468f36f564601cb6d8086b774,p182316,RE: Roland V-Stage,19565,voodoo,2025-04-20T23:36:57+00:00,True,https://www.norduserforum.com/viewtopic.php?p=180533&sid=4a7e7fc468f36f564601cb6d8086b774#p180533,"I have seen the videos about this great sounding instrument. So yesterday I went to Thomann in order to buy the V-Stage. But I came home with a Stage 4 73.So what happened? The V-Stage is great in theory. The did many things right.Pro:* Modeling Piano with infinite velocity layers and deep edits (piano designer)* hybrid E Pianos with own effect section containing 90 effect programs* Zen Core Synth engine, capable of Juno 106 und JP Sounds* Sample Sounds with velocity layers (guitar glide when hitting key hard)* well designed large Color display* multi channel audio interface* adapter for apple mainstage* Scene chains (song list mode)* less expensiveBut some points disappointed me:* Waterfall key bed very weak, totally non weighted, cheap feeling.* Hammer Action 88 key bed very strong and heavy. Over 20kg.* User interface not as good as Nord. Levels of the two synth layers only after a/b switching. Like before on Stage 3.* Synth sounds mainly presets, only minimal edits (attack, release, cutoff)* only left/right split. No four zones. No cross fading.* No arpeggiator* effect section capable (delay/reverb as send effect for all layers), but not as intuitive as Nord* Layout looks quite ugly in my perception, large black panel without optical structure* Many small features missing from Stage 4 (Solo, xfade, undo, etc)So I fell in Love with the Stage 4. For the following reasons:* I love the 73 hammer action keys. Perfect mix for piano and synth.* 73 Waterfall is also great, much better than 76 waterfall from v-Stage* very, very intuitive operation. Every button is labelled for every feature.* the programmable synth engine is unbeatable. I created some own Juno Sounds immediately.* and finally: the optics. On stage it has to be red. That’s the benchmark for stage keyboards.In conclusion: could be competition only for Stage 3. Many new features from Stage 4 are missing.Any comments and other opinion?",https://www.norduserforum.com/viewtopic.php?p=182316&sid=4a7e7fc468f36f564601cb6d8086b774#p182316
171125,6,4a7e7fc468f36f564601cb6d8086b774,p181678,Alternatives to Nord Stage?,41485,LessieHoeger,2025-03-18T07:22:06+00:00,False,,"Hi!I own a Nord Stage 3 Compact, and I really love it! I'm using it everyday for practice, and I've used it a lot for recording my songs. However, I would like to have a piano with weighted keys, great samples/sounds (especially grand/upright piano-sounds, as well as rhodes/wurlitzer-sounds), and easy to move around. I play a lot of concerts, and it would be great to have a piano that could work both for designing different sounds and moving around easily.Therefore, I was wondering is you have any suggestions for a piano that's a bit similar to Nord Stage 3, but with a better piano feeling, and also with great samples/sounds. And I don't need as many functions as the Nord Stage offers. I don't actually need the synth- and organ-sections. My budget is around 2000 dollar.Thank you in advance!",https://www.norduserforum.com/viewtopic.php?p=181678&sid=4a7e7fc468f36f564601cb6d8086b774#p181678
171126,6,4a7e7fc468f36f564601cb6d8086b774,p181679,RE: Alternatives to Nord Stage?,24194,NiCoX,2025-03-18T08:24:08+00:00,True,https://www.norduserforum.com/viewtopic.php?p=181678&sid=4a7e7fc468f36f564601cb6d8086b774#p181678,"Hi,From your gear info, looks like you have a Nord Piano 3... if that is true, isn't it what you need?",https://www.norduserforum.com/viewtopic.php?p=181679&sid=4a7e7fc468f36f564601cb6d8086b774#p181679
171127,6,4a7e7fc468f36f564601cb6d8086b774,p181680,RE: Alternatives to Nord Stage?,27858,FZiegler,2025-03-18T09:26:37+00:00,True,https://www.norduserforum.com/viewtopic.php?p=181678&sid=4a7e7fc468f36f564601cb6d8086b774#p181678,What about a Nord Piano 6 73? Or a used 5 73.,https://www.norduserforum.com/viewtopic.php?p=181680&sid=4a7e7fc468f36f564601cb6d8086b774#p181680
171128,6,4a7e7fc468f36f564601cb6d8086b774,p181681,RE: Alternatives to Nord Stage?,6115,cphollis,2025-03-18T10:39:38+00:00,True,https://www.norduserforum.com/viewtopic.php?p=181678&sid=4a7e7fc468f36f564601cb6d8086b774#p181678,"LessieHoegerwrote:↑18 Mar 2025, 09:22Hi!I own a Nord Stage 3 Compact, and I really love it! I'm using it everyday for practice, and I've used it a lot for recording my songs. However, I would like to have a piano with weighted keys, great samples/sounds (especially grand/upright piano-sounds, as well as rhodes/wurlitzer-sounds), and easy to move around. I play a lot of concerts, and it would be great to have a piano that could work both for designing different sounds and moving around easily.Therefore, I was wondering is you have any suggestions for a piano that's a bit similar to Nord Stage 3, but with a better piano feeling, and also with great samples/sounds. And I don't need as many functions as the Nord Stage offers. I don't actually need the synth- and organ-sections. My budget is around 2000 dollar.Thank you in advance!Don't sell the NS3C, just add a nice weighted controller and you'll be all set.  There's no law that says you can only use one keyboard at a time.I've played with a rig like this for many years, and it's perfect for me.  Started with NS3C with an older Nord Piano 3 underneath, now it's a NS4C with my short NP5 underneath.  The NP5 gets used for duo/trio work, the full rig for everything else.",https://www.norduserforum.com/viewtopic.php?p=181681&sid=4a7e7fc468f36f564601cb6d8086b774#p181681
171129,6,4a7e7fc468f36f564601cb6d8086b774,p182070,RE: Alternatives to Nord Stage?,552,anotherscott,2025-04-07T15:32:47+00:00,True,https://www.norduserforum.com/viewtopic.php?p=181678&sid=4a7e7fc468f36f564601cb6d8086b774#p181678,Yamaha CK88,https://www.norduserforum.com/viewtopic.php?p=182070&sid=4a7e7fc468f36f564601cb6d8086b774#p182070
171130,6,4a7e7fc468f36f564601cb6d8086b774,p181364,Electric Piano Sound on I've got a Feeling- Cover by Norah Jones,17624,Enoch Soames,2025-03-04T15:37:29+00:00,False,,"Hi all!Love this Beatles cover by Norah Jones, specially the Electric Piano Sound.Does anyone know wich Electric piano sound she uses for this tune?https://www.youtube.com/watch?v=E4Zwv3xndjMI want that sound for one of my songs.It would be great if somebody can help me with that.Many thanks!",https://www.norduserforum.com/viewtopic.php?p=181364&sid=4a7e7fc468f36f564601cb6d8086b774#p181364
171131,6,4a7e7fc468f36f564601cb6d8086b774,p181365,RE: Electric Piano Sound on I've got a Feeling- Cover by Norah Jones,27858,FZiegler,2025-03-04T15:59:06+00:00,True,https://www.norduserforum.com/viewtopic.php?p=181364&sid=4a7e7fc468f36f564601cb6d8086b774#p181364,"I'm not that good at discerning EP sounds, but isn't it close to that one?viewtopic.php?p=149385#p149385",https://www.norduserforum.com/viewtopic.php?p=181365&sid=4a7e7fc468f36f564601cb6d8086b774#p181365
171132,6,4a7e7fc468f36f564601cb6d8086b774,p181367,RE: Electric Piano Sound on I've got a Feeling- Cover by Norah Jones,6115,cphollis,2025-03-04T18:27:04+00:00,True,https://www.norduserforum.com/viewtopic.php?p=181364&sid=4a7e7fc468f36f564601cb6d8086b774#p181364,"Yep, it'd be one of the Wurli samples, EQ'd to bring out the warm midrange. I can hear a hint of chorus and some nice reverb.",https://www.norduserforum.com/viewtopic.php?p=181367&sid=4a7e7fc468f36f564601cb6d8086b774#p181367
171133,6,4a7e7fc468f36f564601cb6d8086b774,p181369,RE: Electric Piano Sound on I've got a Feeling- Cover by Norah Jones,2052,Rusty Mike,2025-03-04T20:35:30+00:00,True,https://www.norduserforum.com/viewtopic.php?p=181364&sid=4a7e7fc468f36f564601cb6d8086b774#p181364,"Definitely a Wurli, which she always plays. Got a little grit to it as well. Looks like there's a Fender Twin or similar behind her. Top end is really rolled off with a warm setup on the EQ. Don't know if I hear chorus; sounds like the traditional A200 tremolo.Interesting that she's playing a Nord, since she normally plays a real Wurli.",https://www.norduserforum.com/viewtopic.php?p=181369&sid=4a7e7fc468f36f564601cb6d8086b774#p181369
