unique_id,forum_id,thread_id,post_id,title,unique_user_id,username,datetime,is_it_a_reply,reply_to,post_content,post_link
161807,31,fa0096fab2f5b61bc7d995af2b6b5056,p67703,About the Nord Electro Programs forum section,851,Frantz,2016-01-12T15:24:35+00:00,False,,"Share your Programs/Patches for the Nord Electro Series : NE, NE2, NE3, NE4, NE5When creating a new topic, it's good to add a prefix in you title that mention one of these Electro version",https://www.norduserforum.com/viewtopic.php?p=67703&sid=fa0096fab2f5b61bc7d995af2b6b5056#p67703
161808,31,fa0096fab2f5b61bc7d995af2b6b5056,p184561,Combined piano & glockenspiel - Springsteen-esque,42652,cageytigers23,2025-10-13T13:04:56+00:00,False,,"Hi there,Wondering if anyone can help. I'm hoping to find a patch with piano and glock combined. Think Roy Bittan!I'm on an old Nord Electro 4 HP so can't layer easily - would be great to find one sound that does the job.Thank you!",https://www.norduserforum.com/viewtopic.php?p=184561&sid=fa0096fab2f5b61bc7d995af2b6b5056#p184561
161809,31,fa0096fab2f5b61bc7d995af2b6b5056,p170685,Roland JP8000 Super Saw,38087,raymmmm,2023-11-26T02:35:34+00:00,False,,Just a sample of the old Roland JP8000 super saw..dry with no chorus.  First time using the sample editor.,https://www.norduserforum.com/viewtopic.php?p=170685&sid=fa0096fab2f5b61bc7d995af2b6b5056#p170685
161810,31,fa0096fab2f5b61bc7d995af2b6b5056,p184258,RE: Roland JP8000 Super Saw,42488,vbosarge,2025-09-10T16:55:20+00:00,True,https://www.norduserforum.com/viewtopic.php?p=170685&sid=fa0096fab2f5b61bc7d995af2b6b5056#p170685,When I try to down load this the sample goes into a file.  But it will not upload onto my Mac.  Could someone guide me on how to upload (for the first time) this patch into my Mac??,https://www.norduserforum.com/viewtopic.php?p=184258&sid=fa0096fab2f5b61bc7d995af2b6b5056#p184258
161811,31,fa0096fab2f5b61bc7d995af2b6b5056,p184267,RE: Roland JP8000 Super Saw,22919,Schorsch,2025-09-11T10:31:50+00:00,True,https://www.norduserforum.com/viewtopic.php?p=170685&sid=fa0096fab2f5b61bc7d995af2b6b5056#p170685,"Hi and welcome to this forum!What do you mean by ""how to upload (for the first time) this patch into my Mac"" exactly, and what is your intention with this sample?When you download the sample you should receive a file called ""jp8000 super saw.nsmp3"" which you must save somewhere on your Mac.You then need the Nord Sound Manager software to load this sample onto your Nord Electro 6, this software is available from the Nord webpage:Nord Sound ManagerYou cannot make use of the sample directly on your Mac, the Mac is used to transfer samples to Nord instruments with the help of the Nord Sound Manager software",https://www.norduserforum.com/viewtopic.php?p=184267&sid=fa0096fab2f5b61bc7d995af2b6b5056#p184267
161812,31,fa0096fab2f5b61bc7d995af2b6b5056,p184257,synth lead separate ways,42488,vbosarge,2025-09-10T16:31:48+00:00,False,,I need help find a great patch for the small synth lead after the guitar solo of Separate Ways.   I know it is a Roland sound but I am trying to condense to one keyboard at gigs.   IF anyone has any suggestions or one to share I would greatly appreciate. NORD Electro 6DI have a great sound for the Main just need the small synth.,https://www.norduserforum.com/viewtopic.php?p=184257&sid=fa0096fab2f5b61bc7d995af2b6b5056#p184257
161813,31,fa0096fab2f5b61bc7d995af2b6b5056,p184136,NE 6D,34643,Aldo NS2,2025-08-31T19:21:24+00:00,False,,"Ringrazio in anticipo chi mi aiuterà. Collegato la NE6-D con controller Nektar, splittando Organi o assegnando strumenti diversi: tutto OK finché, per un cavetto MIDI guasto, mi ritrovo gli stessi suoni impostati, ma Electro e Nektar riproducono lo stesso strumento. Sono una trentina di brani, potrei riprogrammarli usando gli stessi ""indirizzi"" o debbo ripartire da zero? Quando l'ho fatto non ho avuto problemi ma ora, per paura di sbagliare, avrei bisogno di istruzioni step-by-step. Tks",https://www.norduserforum.com/viewtopic.php?p=184136&sid=fa0096fab2f5b61bc7d995af2b6b5056#p184136
161814,31,fa0096fab2f5b61bc7d995af2b6b5056,p184137,RE: NE 6D,1140,maxpiano,2025-08-31T19:49:02+00:00,True,https://www.norduserforum.com/viewtopic.php?p=184136&sid=fa0096fab2f5b61bc7d995af2b6b5056#p184136,"Ciao, sorry to remind you once again that this forum language is English only, so you need to write and will get responses in EnglishYour problem cannot have anything to do with a bad MIDI cable (which either works or not) but likely to  the fact your Nektar is sending MIDI over NE6 Global Channel and not to the External Keyb channel, so solution is: check channels both NE and Nektar (and ensure you have ExtKbToLo enabled on the sections you want to play from the Nektar).If any doubt about the ""External Keyboard To LO"" configuration and how to use it, check on NE6 manual, MIDI section, for more info",https://www.norduserforum.com/viewtopic.php?p=184137&sid=fa0096fab2f5b61bc7d995af2b6b5056#p184137
161815,31,fa0096fab2f5b61bc7d995af2b6b5056,p183666,Searching for E5HP Setup/Samples for the FIXX One Thing Leads to Another,20292,playsummuzik,2025-07-30T15:33:58+00:00,False,,"I've been searching and trying to create in vain, the whacky synth sounds for this tune:One Thing Leads to Another by the FIXXI'm not a great synthesis editor/programmer.  I've been trying to recreate in Alchemy and load a sample into my Electro 5HP.  I just can't get the sound right.Has anyone created a worthy sample (.nsmp ) and electro setup?    Sampling the tune itself is not gonna work.   Those sounds need to be isolated.Thanks",https://www.norduserforum.com/viewtopic.php?p=183666&sid=fa0096fab2f5b61bc7d995af2b6b5056#p183666
161816,31,fa0096fab2f5b61bc7d995af2b6b5056,p127033,split sample for nights in white satin and sweet caroline,28176,mumbojumbo,2020-01-27T14:15:08+00:00,False,,does anyone have a split sample withstrings on lower and flute on upper to use on Nights in White Satinstrings on lower and brass on upper to use on Sweet Caroline?,https://www.norduserforum.com/viewtopic.php?p=127033&sid=fa0096fab2f5b61bc7d995af2b6b5056#p127033
161817,31,fa0096fab2f5b61bc7d995af2b6b5056,p127138,RE: split sample for nights in white satin and sweet caroline,25742,arossco,2020-01-28T20:43:42+00:00,True,https://www.norduserforum.com/viewtopic.php?p=127033&sid=fa0096fab2f5b61bc7d995af2b6b5056#p127033,"I would like that too for Nights in White Satin !I am looking forward to the release of Nord Sample Editor 3 for the Electro 6 so that I can set up a sample with Mellotron violins on the lower keyboard and flute on the upper.I'm currently using a B3 flute on the upper half, but it's not very authentic sounding.",https://www.norduserforum.com/viewtopic.php?p=127138&sid=fa0096fab2f5b61bc7d995af2b6b5056#p127138
161818,31,fa0096fab2f5b61bc7d995af2b6b5056,p127140,RE: split sample for nights in white satin and sweet caroline,deleted,LewTheKeysGuy,2020-01-28T22:27:36+00:00,True,https://www.norduserforum.com/viewtopic.php?p=127033&sid=fa0096fab2f5b61bc7d995af2b6b5056#p127033,"In order to achieve the bass and mellotron strings for ""Nights In White Satin"", sampling of the strings requires that the attack is at least 600ms upwards and release of at least 150ms or greater.  I'd sample it with the reverb because the mellotron strings on the recording were flooded with a reverb in order to give distance and coldness. the bass would need a touch of compression and rounding. If I can get this done, I'll try, if not, I've given you some building blocks to try it. Yes, I'm a fan of the moody blues too lol.lew",https://www.norduserforum.com/viewtopic.php?p=127140&sid=fa0096fab2f5b61bc7d995af2b6b5056#p127140
161819,31,fa0096fab2f5b61bc7d995af2b6b5056,p127141,RE: split sample for nights in white satin and sweet caroline,deleted,LewTheKeysGuy,2020-01-28T22:29:15+00:00,True,https://www.norduserforum.com/viewtopic.php?p=127033&sid=fa0096fab2f5b61bc7d995af2b6b5056#p127033,"arossco wrote:I would like that too for Nights in White Satin !I am looking forward to the release of Nord Sample Editor 3 for the Electro 6 so that I can set up a sample with Mellotron violins on the lower keyboard and flute on the upper.I'm currently using a B3 flute on the upper half, but it's not very authentic sounding.It's not NSE3 that's the issue, it's firmware for the Electro 6, Piano 4 and Grand that's the issue here. NSE3 itself is the master construct, compliance of it comes from the firmware changes for the Electro, Piano 4 and Grand, which we as users need to push for, if we don't then it's forgotten about.lew",https://www.norduserforum.com/viewtopic.php?p=127141&sid=fa0096fab2f5b61bc7d995af2b6b5056#p127141
161820,31,fa0096fab2f5b61bc7d995af2b6b5056,p135160,RE: split sample for nights in white satin and sweet caroline,12756,JWalkey,2020-10-12T18:11:50+00:00,True,https://www.norduserforum.com/viewtopic.php?p=127033&sid=fa0096fab2f5b61bc7d995af2b6b5056#p127033,"The intro alone for Nights in White Satin would take its own patch or sample set. I’d love to create a crazy layered sample set for the intro on one panel and the Mellotron strings and flute on another panel. I think I’ll attempt it. Btw, does anybody know what Mellotron strings they used on the original recording?",https://www.norduserforum.com/viewtopic.php?p=135160&sid=fa0096fab2f5b61bc7d995af2b6b5056#p135160
161821,31,fa0096fab2f5b61bc7d995af2b6b5056,p135162,RE: split sample for nights in white satin and sweet caroline,14254,cgrafx,2020-10-12T21:33:55+00:00,True,https://www.norduserforum.com/viewtopic.php?p=127033&sid=fa0096fab2f5b61bc7d995af2b6b5056#p127033,"arossco wrote:I would like that too for Nights in White Satin !I am looking forward to the release of Nord Sample Editor 3 for the Electro 6 so that I can set up a sample with Mellotron violins on the lower keyboard and flute on the upper.I'm currently using a B3 flute on the upper half, but it's not very authentic sounding.There is nothing stopping you from using the Sample Editor now. The E6 uses the same nsmp3 files as the S3.",https://www.norduserforum.com/viewtopic.php?p=135162&sid=fa0096fab2f5b61bc7d995af2b6b5056#p135162
161822,31,fa0096fab2f5b61bc7d995af2b6b5056,p135163,RE: split sample for nights in white satin and sweet caroline,27858,FZiegler,2020-10-12T22:29:14+00:00,True,https://www.norduserforum.com/viewtopic.php?p=127033&sid=fa0096fab2f5b61bc7d995af2b6b5056#p127033,"From the Nord Website:""COMPATIBILITYThe Nord Sample Editor 3 is available for free download for Mac and Windowsand is compatible with all Nord instruments that support samples.""Which means it's producing NSMP3 and NSMP2 samples and goes down to the Electro 3 as supported platform. That's even more than what cgrafx said.",https://www.norduserforum.com/viewtopic.php?p=135163&sid=fa0096fab2f5b61bc7d995af2b6b5056#p135163
161823,31,fa0096fab2f5b61bc7d995af2b6b5056,p183539,RE: split sample for nights in white satin and sweet caroline,41637,Wild Goose,2025-07-21T10:27:32+00:00,True,https://www.norduserforum.com/viewtopic.php?p=127033&sid=fa0096fab2f5b61bc7d995af2b6b5056#p127033,Can anyone recommend which factory settings to use on a Nord Piano 5 for Sweet Caroline?.,https://www.norduserforum.com/viewtopic.php?p=183539&sid=fa0096fab2f5b61bc7d995af2b6b5056#p183539
161824,31,fa0096fab2f5b61bc7d995af2b6b5056,p183391,HELP! NE6D owner just needs cover band 80's patches!,42075,Careymook777,2025-07-07T15:44:32+00:00,False,,I need a direct link to some 80s classic rock patches for my electro 6d 61 keyboard! I have searched this forum and get frustrated because there are so many links but everything is either a stage 3 or stage 4 patch... what about conversions to the nsmp3...I don't see any... and that would be an easy solution... what am I missing? I am a newbie so please help educate me on this....I have gigs to play and I need patches quickly!!!,https://www.norduserforum.com/viewtopic.php?p=183391&sid=fa0096fab2f5b61bc7d995af2b6b5056#p183391
161825,31,fa0096fab2f5b61bc7d995af2b6b5056,p183392,RE: HELP! NE6D owner just needs cover band 80's patches!,3957,ericL,2025-07-07T16:25:23+00:00,True,https://www.norduserforum.com/viewtopic.php?p=183391&sid=fa0096fab2f5b61bc7d995af2b6b5056#p183391,"You might have better luck if you are looking for .nsmp in this sub forum, where most anything shared will be relevant for Nords that accept .nsmp files:viewforum.php?f=14Good luck!",https://www.norduserforum.com/viewtopic.php?p=183392&sid=fa0096fab2f5b61bc7d995af2b6b5056#p183392
161826,31,fa0096fab2f5b61bc7d995af2b6b5056,p183394,RE: HELP! NE6D owner just needs cover band 80's patches!,27858,FZiegler,2025-07-07T16:37:45+00:00,True,https://www.norduserforum.com/viewtopic.php?p=183391&sid=fa0096fab2f5b61bc7d995af2b6b5056#p183391,"Try nordusersounds.com. You'll need a separate login even if it's affilitated with the forum.Or use a paid 3rd party service for that like-https://www.sc-sounds.com/-https://www.synthcloud.net/collections/nord(I don't have any experience with their offers, though)",https://www.norduserforum.com/viewtopic.php?p=183394&sid=fa0096fab2f5b61bc7d995af2b6b5056#p183394
