unique_id,forum_id,thread_id,post_id,title,unique_user_id,username,datetime,is_it_a_reply,reply_to,post_content,post_link
162840,30,97afd44cba4d20a30fad26efe20ccf72,p183068,Nord Lead 3: my stupid and noisy patches,41665,kotatsu,2025-06-12T10:00:24+00:00,False,,"Hi everyone! This is the result of my first month with this wonderful machine:first month.syx(6.84 KiB) Downloaded 67 timesThese patches are especially exercises in sound design, so I prediliged distorted/aliasing/stupidly loud sounds. I also tried techniques like filter pinging and bizarre velocity mapping. Here all the sounds are played live with the keyboard and, where it is present, arpeggiator but I recommend experimenting with some crazy sequencing and velocity randomizationEnjoy!tortoiser.mp3Delayed wall.mp3Vose In.mp3wobbler.mp3DecentSnare.mp3HyperTrance.mp3Growlee.mp3Follia.mp3Chiacchiera.mp3filtapinga.mp3fmlead.mp3acroyearish.mp3Canadians.mp3sea of noize.mp3Grower.mp3FM dronemaker.mp3Noiser.mp3stumble in.mp3FUSSION.mp3",https://www.norduserforum.com/viewtopic.php?p=183068&sid=97afd44cba4d20a30fad26efe20ccf72#p183068
162841,30,97afd44cba4d20a30fad26efe20ccf72,p183069,RE: Nord Lead 3: my stupid and noisy patches,41665,kotatsu,2025-06-12T10:01:27+00:00,True,https://www.norduserforum.com/viewtopic.php?p=183068&sid=97afd44cba4d20a30fad26efe20ccf72#p183068,Audio samples of performances:FollePad.mp3Pencha.mp3,https://www.norduserforum.com/viewtopic.php?p=183069&sid=97afd44cba4d20a30fad26efe20ccf72#p183069
162842,30,97afd44cba4d20a30fad26efe20ccf72,p181018,Loading Nord Lead 1 sounds into newer Lead,13008,dazzdazz,2025-02-13T16:06:40+00:00,False,,"Hi all,I used to own the first Nord Lead in 1994, the one without a number. Unfortunately I sold it a few years ago, but I do have a sys ex dump of all the sounds. Question: can I load those patches into a new Nord Lead 1? Or do I need to find a used old one. Advice is greatly appreciated!",https://www.norduserforum.com/viewtopic.php?p=181018&sid=97afd44cba4d20a30fad26efe20ccf72#p181018
162843,30,97afd44cba4d20a30fad26efe20ccf72,p181020,RE: Loading Nord Lead 1 sounds into newer Lead,1140,maxpiano,2025-02-13T16:20:13+00:00,True,https://www.norduserforum.com/viewtopic.php?p=181018&sid=97afd44cba4d20a30fad26efe20ccf72#p181018,"Hi, normally there is no cross compatibility between different Nord models, for sure NL1 sysex cannot be loaded on latest Nord Leads (NL4, A1), maybe the could work on an old NL2 or even 2x maximum (but not sure).EDIT: read herehttps://gearspace.com/board/electronic- ... d-2-a.html",https://www.norduserforum.com/viewtopic.php?p=181020&sid=97afd44cba4d20a30fad26efe20ccf72#p181020
162844,30,97afd44cba4d20a30fad26efe20ccf72,p180083,Help creating this sweeping pad,40981,Kthorn,2025-01-07T15:56:45+00:00,False,,"I am new to synths and the A1 is my first synth I've owned. I would like to create a pad similar to the video where it ""sweeps"" on its own. Is that a filter sweep? He said self oscillates, not sure what that is.. Thanks.(video should be timestamped to 17:06)Also, if anyone knows how to get something similar to the ""Synth Pad 1"" or ""Soft Fifth"" pads from the nord sample libraries. It seems those can't be ported into the A1?",https://www.norduserforum.com/viewtopic.php?p=180083&sid=97afd44cba4d20a30fad26efe20ccf72#p180083
162845,30,97afd44cba4d20a30fad26efe20ccf72,p179057,Drum sounds for A1/A1r,40620,bob303,2024-11-11T14:49:37+00:00,False,,"Hello everyone, I'm new to the Nord world. I wanted to ask if there are any drum sounds available (FM ones would be highly appreciated) for this synth. Thank you very much!",https://www.norduserforum.com/viewtopic.php?p=179057&sid=97afd44cba4d20a30fad26efe20ccf72#p179057
162846,30,97afd44cba4d20a30fad26efe20ccf72,p174717,Nord Lead 2x - Bass Patch (Reverse Engineering),39316,jkacy,2024-04-24T09:55:26+00:00,False,,"Hi!Hope someone could help me replicate the patch that I've found in the past before I bought my lead 2x. This patch is contained in the kontakt library called ""USB - Virtual Analog Vol.3 - Nord Lead 2"" (probably by AKAI). The patch called SLESH BASS.I've tried to replicate it many many times but still missing something and can't understand what. It's very important bass timbre for me and I really want to have it in the full version so that it could be modified (adsr, filter, etc) because this library can not be tweak. Akai probably used additional processing to create this patch but the essence does not change because of this - I still can't find the right spot to attack information and osc1-osc2 mix.My guess that the solution lies around FM amount or maybe performance mode to create that patch...Attached mp3, it's the note E2I will be immensely grateful for any help![mp3player=SLESH BASS.mp3]https://www.norduserforum.com/download/file.php?id=18563[/mp3player]",https://www.norduserforum.com/viewtopic.php?p=174717&sid=97afd44cba4d20a30fad26efe20ccf72#p174717
162847,30,97afd44cba4d20a30fad26efe20ccf72,p174732,RE: Nord Lead 2x - Bass Patch (Reverse Engineering),13550,cvselman,2024-04-24T14:44:59+00:00,True,https://www.norduserforum.com/viewtopic.php?p=174717&sid=97afd44cba4d20a30fad26efe20ccf72#p174717,It sounds like one of the Nord Lead Sample that Nord created and have available for download here:https://www.nordkeyboards.com/sound-lib ... synth-bass,https://www.norduserforum.com/viewtopic.php?p=174732&sid=97afd44cba4d20a30fad26efe20ccf72#p174732
162848,30,97afd44cba4d20a30fad26efe20ccf72,p174733,RE: Nord Lead 2x - Bass Patch (Reverse Engineering),39316,jkacy,2024-04-24T15:29:28+00:00,True,https://www.norduserforum.com/viewtopic.php?p=174717&sid=97afd44cba4d20a30fad26efe20ccf72#p174717,SynthBass2 sounds very similiar. But how could I replicate it on my NL2x?,https://www.norduserforum.com/viewtopic.php?p=174733&sid=97afd44cba4d20a30fad26efe20ccf72#p174733
162849,30,97afd44cba4d20a30fad26efe20ccf72,p176461,RE: Nord Lead 2x - Bass Patch (Reverse Engineering),37073,Mektys,2024-07-04T20:24:10+00:00,True,https://www.norduserforum.com/viewtopic.php?p=174717&sid=97afd44cba4d20a30fad26efe20ccf72#p174717,Unfortunately Nord completely changed website so all links provided here are no longer accessible:-(,https://www.norduserforum.com/viewtopic.php?p=176461&sid=97afd44cba4d20a30fad26efe20ccf72#p176461
