unique_id,forum_id,thread_id,post_id,title,unique_user_id,username,datetime,is_it_a_reply,reply_to,post_content,post_link
135016,24,133284551d98450c4022f30a95c2a16e,p151549,Maximum Voices Problem G1,33195,derMann,2022-03-13T04:02:50+00:00,False,,"I hope someone here can shed some light on a problem I’m having.My G1 is limiting me to two-note chords. I set the maximum requested voices to any number > 2 but it only ever allocate a maximum of 2 voices. I’m stumped.I had a G1 many years ago, and I don’t recall having this problem. I just picked this one up a few months ago and only today decided to create some polyphonic patches… to no avail. As far as I can tell, the G1 should be able to play a three note chord.Test patch:Keyboard module [gate] > ADSR (gate)Master Osc 1 [slv] > Slave Osc 2 (mst)Slave Osc 2 [audio out] > ADSR (audio in)ADSR [audio out] > 2 outputs Mix Bus (L&R)Requested voices = 4Consumed voices = 2Master Osc KBT = onADSR = 0,0,100, 25Play three note or greater chord = only two notes sound at a time.",https://www.norduserforum.com/viewtopic.php?p=151549&sid=133284551d98450c4022f30a95c2a16e#p151549
135017,24,133284551d98450c4022f30a95c2a16e,p151558,RE: Maximum Voices Problem G1,33195,derMann,2022-03-13T16:06:06+00:00,True,https://www.norduserforum.com/viewtopic.php?p=151549&sid=133284551d98450c4022f30a95c2a16e#p151549,"For anyone that might come along in the future here is the reason why I thought I had a problem and how to maximize polyphonic voices in a single patch (you can extrapolate from this how to manage voices between slots).It all comes down to how voices are allocated (covered in the NM G1 manual on page 211).In short:1) Take note of the Load PVA (the percentage of total DSP resources being consumed).2) Compare voices available against Load PVA percentage AND take note of requested voices in all patches loaded to slots.As an experiment to clarify what is happening, rather than me clarifying the somewhat cumbersome explanation in the manual:1) Load an empty patch (no modules) to each of four slots— Load PVA should show zero (0).2) Create a very simple patch (Keyboard Gate > ADSR > Tri Slave Osc > Mix Bus) [you know the routing, of course].3) Increase requested voices to your hearts content (an expanded G1 will obviously be double).4) Play a massive polyphonic chord. No problem.Now to look at voice allocation.5) Save this test patch6) Open a copy of this test patch to another slot— the test patch is now open in two slots.7) Note that the voices available in both patches has been cut, theoretically, in half. The same division will be observed if you open this patch in each of the four slots. It doesn’t matter if a patch in a slot it being played—it only matters that voices have been requested (i.e. reserved) for when that patch will be played.Now that it should be clear how voices are allocated—all that is left is to be mindful of the Load PVA that each respective module consumes.Moral of the story: If you want to make massive polyphonic patches—make sure there are no patches/modules loaded to other slots and that not voices are requested in those empty slots. Then choose modules wisely.",https://www.norduserforum.com/viewtopic.php?p=151558&sid=133284551d98450c4022f30a95c2a16e#p151558
135018,24,133284551d98450c4022f30a95c2a16e,p184477,RE: Maximum Voices Problem G1,42583,Aitchy,2025-10-01T00:22:21+00:00,True,https://www.norduserforum.com/viewtopic.php?p=151549&sid=133284551d98450c4022f30a95c2a16e#p151549,"derMannwrote:↑13 Mar 2022, 18:06For anyone that might come along in the future here is the reason why I thought I had a problem and how to maximize polyphonic voices in a single patch (you can extrapolate from this how to manage voices between slots).It all comes down to how voices are allocated (covered in the NM G1 manual on page 211).In short:1) Take note of the Load PVA (the percentage of total DSP resources being consumed).2) Compare voices available against Load PVA percentage AND take note of requested voices in all patches loaded to slots.As an experiment to clarify what is happening, rather than me clarifying the somewhat cumbersome explanation in the manual:1) Load an empty patch (no modules) to each of four slots— Load PVA should show zero (0).2) Create a very simple patch (Keyboard Gate > ADSR > Tri Slave Osc > Mix Bus) [you know the routing, of course].3) Increase requested voices to your hearts content (an expanded G1 will obviously be double).4) Play a massive polyphonic chord. No problem.Now to look at voice allocation.5) Save this test patch6) Open a copy of this test patch to another slot— the test patch is now open in two slots.7) Note that the voices available in both patches has been cut, theoretically, in half. The same division will be observed if you open this patch in each of the four slots. It doesn’t matter if a patch in a slot it being played—it only matters that voices have been requested (i.e. reserved) for when that patch will be played.Now that it should be clear how voices are allocated—all that is left is to be mindful of the Load PVA that each respective module consumes.Moral of the story: If you want to make massive polyphonic patches—make sure there are no patches/modules loaded to other slots and that not voices are requested in those empty slots. Then choose modules wisely.Good explanation/demonstration.  I had glanced at this in the manual but never really got it until following this.  Thanks.",https://www.norduserforum.com/viewtopic.php?p=184477&sid=133284551d98450c4022f30a95c2a16e#p184477
135019,24,133284551d98450c4022f30a95c2a16e,p166949,modular G1 ROM image,34318,Jasxon,2023-07-07T02:49:40+00:00,False,,"Hi everyone,I’mstill(well, getting back into) diagnosing my boot issues with my G1.I have ordered some new EPROMs and will program them.I’m hoping that someone here has a dump of the EPROM or knows where to get one.Any help would be greatly appreciated.Kind regards,Jasxon",https://www.norduserforum.com/viewtopic.php?p=166949&sid=133284551d98450c4022f30a95c2a16e#p166949
135020,24,133284551d98450c4022f30a95c2a16e,p169788,RE: modular G1 ROM image,37807,oscarthesquirrel,2023-10-21T08:08:55+00:00,True,https://www.norduserforum.com/viewtopic.php?p=166949&sid=133284551d98450c4022f30a95c2a16e#p166949,"Hi Jasxon,I turned on my Modular today and it doesn't boot.  LCD screen lights up and after a while a few LEDS lit up too, but that hasn't repeated itself on subsequent power-ons - just a glowing LCD screen.Just wondering how you got on with your issues ?From reading around (and not being an expert) I can only guess (a) some issue with the boot loader from the EPROM, which could be (a) some degradation of the EPROM itself or (b) an issue with the power supply reaching pin 32 of the EPRom (should be 4.5-5.5v for a 10% tolerance chip, or +4.75-5.25v for a 5% tolerance chip).  If its a power supply issue, most likely culprit would be issue with the capacitors.I'll be poking around inside my unit today and will let you know what I find...However, as a hep to the wider community, if someone could do an EPROM bin file dump of anything from v1.01 to v3.03 that would enable replacement of faulty EPROMs, that would be amazing.Steve",https://www.norduserforum.com/viewtopic.php?p=169788&sid=133284551d98450c4022f30a95c2a16e#p169788
135021,24,133284551d98450c4022f30a95c2a16e,p182338,RE: modular G1 ROM image,41286,inspector_jester,2025-04-21T18:47:38+00:00,True,https://www.norduserforum.com/viewtopic.php?p=166949&sid=133284551d98450c4022f30a95c2a16e#p166949,"A few years late here, but here's a dump of the Nord Modular G1 Rack. EPROM is labeled Ver 3.03.",https://www.norduserforum.com/viewtopic.php?p=182338&sid=133284551d98450c4022f30a95c2a16e#p182338
135022,24,133284551d98450c4022f30a95c2a16e,p183847,RE: modular G1 ROM image,42289,rodri,2025-08-11T04:22:40+00:00,True,https://www.norduserforum.com/viewtopic.php?p=166949&sid=133284551d98450c4022f30a95c2a16e#p166949,I’ll be trying to recover my G1 this week with a new EPROM. I’ll let you know how it goes. Thanks for the .bin file.,https://www.norduserforum.com/viewtopic.php?p=183847&sid=133284551d98450c4022f30a95c2a16e#p183847
135023,24,133284551d98450c4022f30a95c2a16e,p183861,RE: modular G1 ROM image,42289,rodri,2025-08-12T04:11:02+00:00,True,https://www.norduserforum.com/viewtopic.php?p=166949&sid=133284551d98450c4022f30a95c2a16e#p166949,"inspector_jesterwrote:↑21 Apr 2025, 20:47A few years late here, but here's a dump of the Nord Modular G1 Rack. EPROM is labeled Ver 3.03.Hi Inspector Jester,I just brought my G1 back from the land of the dead thanks to your .bin file! Everything works fine except for a few things — I have the keys version, not the rack, so maybe that’s the reason?Would you be so kind, if you have it, to share the G1 keys .bin file with me? The only issue I’m having is that the octave selector lights aren’t working, but apart from that, everything else is perfect.You definitely made me happy, dude — the G1 is one of the centerpieces of my music.Thanks a lot!",https://www.norduserforum.com/viewtopic.php?p=183861&sid=133284551d98450c4022f30a95c2a16e#p183861
135024,24,133284551d98450c4022f30a95c2a16e,p183998,RE: modular G1 ROM image,41286,inspector_jester,2025-08-20T16:40:19+00:00,True,https://www.norduserforum.com/viewtopic.php?p=166949&sid=133284551d98450c4022f30a95c2a16e#p166949,"Hello, I am sorry to say that I only have the rack bin file and I only own a G1 Rack.",https://www.norduserforum.com/viewtopic.php?p=183998&sid=133284551d98450c4022f30a95c2a16e#p183998
135025,24,133284551d98450c4022f30a95c2a16e,p184043,RE: modular G1 ROM image,34318,Jasxon,2025-08-24T04:35:54+00:00,True,https://www.norduserforum.com/viewtopic.php?p=166949&sid=133284551d98450c4022f30a95c2a16e#p166949,"inspector_jesterwrote:↑21 Apr 2025, 20:47A few years late here, but here's a dump of the Nord Modular G1 Rack. EPROM is labeled Ver 3.03.Thanks for the reply, I’ve only just seen this. I’ll have a go with this file, but I also have a keys version, not a rack.Many thanks! I’ll report back when I get a chance to attempt to plan to flash a new chip.Kind regards,Jasxon",https://www.norduserforum.com/viewtopic.php?p=184043&sid=133284551d98450c4022f30a95c2a16e#p184043
