unique_id,forum_id,thread_id,post_id,title,unique_user_id,username,datetime,is_it_a_reply,reply_to,post_content,post_link
135615,13,1fd5b1b5a4f935b545eaba18ad695d8f,p184531,Nord Organ 3 Available,13641,elseif,2025-10-07T19:49:04+00:00,False,,"In stock at Sweetwater.Nord Organ 3 User Manual (https://www.nordkeyboards.com/wt/docume ... on%20C.pdf).Things asked for on this forum that according to the manual were implemented in the Organ 3:* Reverb can be switched to after the rotary effect.** Manual pg 24:** Forum posting (viewtopic.php?p=97862#p97862):The bass output looks to be a great feature.It is unknown whether the ""R1 bypass mod"" was implented: see here:viewtopic.php?p=147184#p147184and here:https://www.dairiki.org/HammondWiki/Eli ... VolumeDropAnother request concerned a change for high/low trigger to affect only MIDI output values while internal organ tones were always generated at high trigger for best response. A search of the manual showed one entry for the word ""velocity"" on page 25. This does not give confidence. The ""related MIDI setting"" is not explained.NOTE ON/OFF• Note On and Note Off messages are transmitted and received.Velocity is included if the related MIDI menu setting is set accordingly.",https://www.norduserforum.com/viewtopic.php?p=184531&sid=1fd5b1b5a4f935b545eaba18ad695d8f#p184531
135616,13,1fd5b1b5a4f935b545eaba18ad695d8f,p184182,Control rotor speed of Leslie Studio 12 via C2D footpedal,29662,jarost1,2025-09-04T20:00:06+00:00,False,,"I have a C2D and a Leslie Studio 12W.  They sound fantastic together, of course.When not using the real Leslie Studio 12 I use the Nord Leslie sim just like everybody else.  And I control fast-slow with the sustain pedal.The Studio 12W does not have a 6-pin Leslie input, only 1/4 line level.  So the speed control (fast/slow/stop) of a Leslie Studio 12 is via a (1/4 inch TRS) Leslie pedal.  It is not controlled by the Nord.In case anyone else has the luxury of using the C2D with a real Leslie, the real Leslie doesn’t do well with the simulated Leslie input.  Turning OFF the Leslie sim in the Nord solves this perfectly.  Just turn it off entirely and the real Leslie/C2D combination is as good as my B3 and 122.However, I would like to simultaneously use and record the MIDI output of the C2D to control a B3 plugin, at the same time that I play the real Leslie, including the fast-slow data.  So is there a way to get the Leslie Studio 12 to respond to the MIDI fast-slow data?  That would be the best.   OR how can I record the fast-slow actions of the Leslie pedal for use in the software B3 ?Tough questionJ",https://www.norduserforum.com/viewtopic.php?p=184182&sid=1fd5b1b5a4f935b545eaba18ad695d8f#p184182
135617,13,1fd5b1b5a4f935b545eaba18ad695d8f,p184187,RE: Control rotor speed of Leslie Studio 12 via C2D footpedal,1140,maxpiano,2025-09-05T07:30:21+00:00,True,https://www.norduserforum.com/viewtopic.php?p=184182&sid=1fd5b1b5a4f935b545eaba18ad695d8f#p184182,"MIDI Solutions Relay could be what you needhttps://www.midisolutions.com/prodrel.htmbut it has only 1 relay per unit over a TS jack, so it will only switch the Tip-Sleeve contact e.g. Slow/Fast; to manage a TRS you would need 2 units and also a Y (stereo male to 2x mono female) adapter cableThe alternative is go into DIY using an Arduino or a similar platform, like they did on this projecthttps://www.diystompboxes.com/smfforum/ ... c=112424.0PS: MIDI Solutions also provides an 8x version of that MIDI Relayhttps://www.midisolutions.com/prodr8.htmbut not a 2x",https://www.norduserforum.com/viewtopic.php?p=184187&sid=1fd5b1b5a4f935b545eaba18ad695d8f#p184187
135618,13,1fd5b1b5a4f935b545eaba18ad695d8f,p183592,Control pedal /B3 / NE6D......nope !,11087,ch79431,2025-07-24T23:46:22+00:00,False,,Hi all:I just bought a Yamaha FC7 control/volume pedal for my 6d.It works well......except for the organ section.The B3 volume doesn't reset to zero when it's fully 'reclined'.   Its pretty close to silence...but you can still hear it.Nord support says the 6D doesn't have a built-in calibration function.They suggested a few work-arounds....but it didn't help.The pedal is great other- wise.....it also worked just fine with a Yamaha S 80Has anyone else had this problem ??Thx,https://www.norduserforum.com/viewtopic.php?p=183592&sid=1fd5b1b5a4f935b545eaba18ad695d8f#p183592
135619,13,1fd5b1b5a4f935b545eaba18ad695d8f,p183594,RE: Control pedal /B3 / NE6D......nope !,2052,Rusty Mike,2025-07-25T00:34:29+00:00,True,https://www.norduserforum.com/viewtopic.php?p=183592&sid=1fd5b1b5a4f935b545eaba18ad695d8f#p183592,"That is actually the function of a traditional organ swell pedal. On a real B3, the pedal never goes to zero. The organ engine is programmed to respond in that authentic way.",https://www.norduserforum.com/viewtopic.php?p=183594&sid=1fd5b1b5a4f935b545eaba18ad695d8f#p183594
135620,13,1fd5b1b5a4f935b545eaba18ad695d8f,p183602,RE: Control pedal /B3 / NE6D......nope !,22919,Schorsch,2025-07-25T08:40:50+00:00,True,https://www.norduserforum.com/viewtopic.php?p=183592&sid=1fd5b1b5a4f935b545eaba18ad695d8f#p183592,"Exactly, it's not a problem but a feature and implemented that way by design, to mimic the behaviour of a real Hammond tonewheel organ. I was therefore surprised that Nord support suggested work arounds for this and did not tell that this is the exact behaviour as intended",https://www.norduserforum.com/viewtopic.php?p=183602&sid=1fd5b1b5a4f935b545eaba18ad695d8f#p183602
135621,13,1fd5b1b5a4f935b545eaba18ad695d8f,p183603,RE: Control pedal /B3 / NE6D......nope !,1140,maxpiano,2025-07-25T08:48:22+00:00,True,https://www.norduserforum.com/viewtopic.php?p=183592&sid=1fd5b1b5a4f935b545eaba18ad695d8f#p183592,"ch79431wrote:↑25 Jul 2025, 01:46Hi all:I just bought a Yamaha FC7 control/volume pedal for my 6d.It works well......except for the organ section.The B3 volume doesn't reset to zero when it's fully 'reclined'.   Its pretty close to silence...but you can still hear it.Nord support says the 6D doesn't have a built-in calibration function.They suggested a few work-arounds....but it didn't help.The pedal is great other- wise.....it also worked just fine with a Yamaha S 80Has anyone else had this problem ??ThxThe problem is not the pedal or the NE6, but not reading the manual (or not carefully enough)IMG_2039.jpeg (1.51 MiB) Viewed 4453 times",https://www.norduserforum.com/viewtopic.php?p=183603&sid=1fd5b1b5a4f935b545eaba18ad695d8f#p183603
135622,13,1fd5b1b5a4f935b545eaba18ad695d8f,p183614,RE: Control pedal /B3 / NE6D......nope !,11087,ch79431,2025-07-25T22:11:02+00:00,True,https://www.norduserforum.com/viewtopic.php?p=183592&sid=1fd5b1b5a4f935b545eaba18ad695d8f#p183592,Yes....guilty I am....Of not seeing that in the manual !!   There it was ..hiding in plain sight...Thx for those replies everyone.Appreciated and interesting,https://www.norduserforum.com/viewtopic.php?p=183614&sid=1fd5b1b5a4f935b545eaba18ad695d8f#p183614
135623,13,1fd5b1b5a4f935b545eaba18ad695d8f,p183004,Sustain Pedal Help,41968,Chrisneal8o,2025-06-07T15:07:26+00:00,False,,"Hi all,I Have just purchased a second hand Nord C1. It is the first Nord I have owned so appreciate any help.I can’t get the pedal to work. It’s to holding the key. I have seen other issue where it is either closed or open but it seems the pedal isn’t working an either at the moment. Any ideas?Thank you in advanceChrisIMG_0099.jpeg (2.83 MiB) Viewed 4719 timesIMG_0098.jpeg (2.61 MiB) Viewed 4719 timesIMG_0097.jpeg (2.64 MiB) Viewed 4719 times",https://www.norduserforum.com/viewtopic.php?p=183004&sid=1fd5b1b5a4f935b545eaba18ad695d8f#p183004
135624,13,1fd5b1b5a4f935b545eaba18ad695d8f,p183005,RE: Sustain Pedal Help,6115,cphollis,2025-06-07T15:30:11+00:00,True,https://www.norduserforum.com/viewtopic.php?p=183004&sid=1fd5b1b5a4f935b545eaba18ad695d8f#p183004,Check to see if it's enabled (pg 15 in the manual)https://www.nordkeyboards.com/wt/docume ... %201.x.pdf,https://www.norduserforum.com/viewtopic.php?p=183005&sid=1fd5b1b5a4f935b545eaba18ad695d8f#p183005
