unique_id,forum_id,thread_id,post_id,title,unique_user_id,username,datetime,is_it_a_reply,reply_to,post_content,post_link
152919,33,dccaa0ccbb57cb78dafb378e35708568,p184537,"Bag Pipes  ""its along way to the top"" by AC/DC",24860,Daddy Cool,2025-10-09T11:29:27+00:00,False,,"Wondering if anyone has a bag pipe program for the stage 4. My band wants to play ""its along way to the top"" by AC/DC the bag pipes on my korg Nautilus are weak so hoping someone has something for the nord.Thanks",https://www.norduserforum.com/viewtopic.php?p=184537&sid=dccaa0ccbb57cb78dafb378e35708568#p184537
152920,33,dccaa0ccbb57cb78dafb378e35708568,p184538,"RE: Bag Pipes  ""its along way to the top"" by AC/DC",22919,Schorsch,2025-10-09T11:52:35+00:00,True,https://www.norduserforum.com/viewtopic.php?p=184537&sid=dccaa0ccbb57cb78dafb378e35708568#p184537,"Hi,have you checked the Nord User Sounds Page?https://nordusersounds.com/filesThere are a couple of bagpipe samples available which should be able to be loaded onto the NS4",https://www.norduserforum.com/viewtopic.php?p=184538&sid=dccaa0ccbb57cb78dafb378e35708568#p184538
152921,33,dccaa0ccbb57cb78dafb378e35708568,p168234,It´s My Life (Bon Jovi),4078,cooltour,2023-08-23T14:01:26+00:00,False,,Another sound reproduces from the NS3 to the NS4 ...(I am grateful for your feedback. Please also post your user sounds so that the library grows ... thanks!),https://www.norduserforum.com/viewtopic.php?p=168234&sid=dccaa0ccbb57cb78dafb378e35708568#p168234
152922,33,dccaa0ccbb57cb78dafb378e35708568,p168347,RE: It´s My Life (Bon Jovi),29766,Zebasan,2023-08-28T11:09:57+00:00,True,https://www.norduserforum.com/viewtopic.php?p=168234&sid=dccaa0ccbb57cb78dafb378e35708568#p168234,"Thank's good job !  I just switched the piano on all the keyboard layers, and played a little with the equaliser",https://www.norduserforum.com/viewtopic.php?p=168347&sid=dccaa0ccbb57cb78dafb378e35708568#p168347
152923,33,dccaa0ccbb57cb78dafb378e35708568,p184529,RE: It´s My Life (Bon Jovi),36190,felipe_gonzalez,2025-10-07T12:16:47+00:00,True,https://www.norduserforum.com/viewtopic.php?p=168234&sid=dccaa0ccbb57cb78dafb378e35708568#p168234,"Good morningI have been searching for the sinth of ""its my life"", and I cant download np4s file, it says it is not compatible with my nord stage 3Any advice",https://www.norduserforum.com/viewtopic.php?p=184529&sid=dccaa0ccbb57cb78dafb378e35708568#p184529
152924,33,dccaa0ccbb57cb78dafb378e35708568,p184530,RE: It´s My Life (Bon Jovi),6115,cphollis,2025-10-07T15:06:29+00:00,True,https://www.norduserforum.com/viewtopic.php?p=168234&sid=dccaa0ccbb57cb78dafb378e35708568#p168234,"felipe_gonzalezwrote:↑07 Oct 2025, 14:16Good morningI have been searching for the sinth of ""its my life"", and I cant download np4s file, it says it is not compatible with my nord stage 3Any adviceThe NS4 has unique features not found on the NS3, so those programs won't work.Options:- find a NS3 version (free or paid)- recreate the sound using the NS3's capabilities (not hard)- buy a NS4",https://www.norduserforum.com/viewtopic.php?p=184530&sid=dccaa0ccbb57cb78dafb378e35708568#p184530
152925,33,dccaa0ccbb57cb78dafb378e35708568,p184358,Looking for Jesus Molina’s synth sound,41615,managuvil,2025-09-19T16:38:15+00:00,False,,"Hi everyone,I’ve been listening to this track and really loved the synth sound that comes in at 3:25:https://www.youtube.com/watch?v=g3912-U ... rt_radio=1Does anyone have a preset similar to that sound for Nord Stage 4?Any tips on how to recreate it (oscillators, effects, filters, etc.) would also be super helpful.Thanks in advance!",https://www.norduserforum.com/viewtopic.php?p=184358&sid=dccaa0ccbb57cb78dafb378e35708568#p184358
152926,33,dccaa0ccbb57cb78dafb378e35708568,p184376,RE: Looking for Jesus Molina’s synth sound,70,Mr. Marko,2025-09-22T02:55:53+00:00,True,https://www.norduserforum.com/viewtopic.php?p=184358&sid=dccaa0ccbb57cb78dafb378e35708568#p184358,on NS4 you might start in the Preset Library with Synth Preset 1:15 PWM Pan Pad and make a few tweaks?,https://www.norduserforum.com/viewtopic.php?p=184376&sid=dccaa0ccbb57cb78dafb378e35708568#p184376
152927,33,dccaa0ccbb57cb78dafb378e35708568,p184508,RE: Looking for Jesus Molina’s synth sound,22485,timmmy000,2025-10-04T10:51:57+00:00,True,https://www.norduserforum.com/viewtopic.php?p=184358&sid=dccaa0ccbb57cb78dafb378e35708568#p184358,"Hello folks,or you take another one from the synth-section presets:„Synth classic - Short chord (3.54)“ …RegardsTim",https://www.norduserforum.com/viewtopic.php?p=184508&sid=dccaa0ccbb57cb78dafb378e35708568#p184508
152928,33,dccaa0ccbb57cb78dafb378e35708568,p184320,Schifoan - Wolfgang Ambroß,28375,Huflo,2025-09-17T07:48:06+00:00,False,,"Dear community,if anyone has the sound of this song – the intro – it would be a great help! My problem is that I can't hear which instrument it's supposed to be.Does anyone have any ideas?",https://www.norduserforum.com/viewtopic.php?p=184320&sid=dccaa0ccbb57cb78dafb378e35708568#p184320
