unique_id,forum_id,thread_id,post_id,title,unique_user_id,username,datetime,is_it_a_reply,reply_to,post_content,post_link
141839,5,fda88daa4b185d454aaf377c14a24db5,p2615,Nord Stage EX/Classic Program Collection,2,Johannes,2011-05-05T14:06:01+00:00,False,,"Hi,as more people hop on the NS2 train, I thought it would be a good idea to do a kind of wrap up of all the great works that have been done by Nord Stage Classic and EX users in order to create programs that can be shared, both on request of others and just as a mean of sharing one's tweaking results.Going through this forum and some other places on the net, I pulled the strings together and put all the great programs and patches I came across into a collection where you can listen to them, download the program and find further information in the original discussions.If you only want to tryout the program files by yourself, you can download the whole set in the Downloads Section already here:200 Programs Collection 2009-2014However, if you first want to get an idea if a particular program might be useful of you, you find the whole set INCLUDING MP3 Previews on one page here: (Please be patient as the page might need up to one minute to fully load due to to the great number of small Flash Players, but if finally will load and once it is there, you can listen to all of them without further problems!)Nord Stage Classic/EX Program CollectionAlso, for each program there is a link to the post the program was posted first where you usually find additional info about how to use it or can ask the creator.It was great fun to go back to some of those programs to get some inspiration to play around with! So again, kudos to all the creators as mentioned there, and keep it up!It is unfortunate IMHO that the NS"" does not understand the .nspg format, but maybe there is a solution sometime in the (near?) future.If you have any problem or issue with this page, find an error or want your program to be removed or changed, please PM me or reply to this thread!!Cheers,Johannes",https://www.norduserforum.com/viewtopic.php?p=2615&sid=fda88daa4b185d454aaf377c14a24db5#p2615
141840,5,fda88daa4b185d454aaf377c14a24db5,p2679,RE: Nord Stage EX/Classic Program Collection,64,mon8169,2011-05-09T17:35:51+00:00,True,https://www.norduserforum.com/viewtopic.php?p=2615&sid=fda88daa4b185d454aaf377c14a24db5#p2615,"Great work, Johannes!!!!Already in my favorites folder!!Ramon",https://www.norduserforum.com/viewtopic.php?p=2679&sid=fda88daa4b185d454aaf377c14a24db5#p2679
141841,5,fda88daa4b185d454aaf377c14a24db5,p3355,RE: Nord Stage EX/Classic Program Collection,461,doctorno,2011-06-09T08:19:52+00:00,True,https://www.norduserforum.com/viewtopic.php?p=2615&sid=fda88daa4b185d454aaf377c14a24db5#p2615,Thank you very much - a great collection.,https://www.norduserforum.com/viewtopic.php?p=3355&sid=fda88daa4b185d454aaf377c14a24db5#p3355
141842,5,fda88daa4b185d454aaf377c14a24db5,p4323,RE: Nord Stage EX/Classic Program Collection,239,DoctorC,2011-07-11T19:49:39+00:00,True,https://www.norduserforum.com/viewtopic.php?p=2615&sid=fda88daa4b185d454aaf377c14a24db5#p2615,Excellent work Johannes - very useful.,https://www.norduserforum.com/viewtopic.php?p=4323&sid=fda88daa4b185d454aaf377c14a24db5#p4323
141843,5,fda88daa4b185d454aaf377c14a24db5,p5061,RE: Nord Stage EX/Classic Program Collection,131,Laver,2011-07-24T21:30:12+00:00,True,https://www.norduserforum.com/viewtopic.php?p=2615&sid=fda88daa4b185d454aaf377c14a24db5#p2615,"Johannes, you have given my Nord Stage new live! thanks",https://www.norduserforum.com/viewtopic.php?p=5061&sid=fda88daa4b185d454aaf377c14a24db5#p5061
141844,5,fda88daa4b185d454aaf377c14a24db5,p7346,RE: Nord Stage EX/Classic Program Collection,1671,richpace,2011-09-17T02:54:51+00:00,True,https://www.norduserforum.com/viewtopic.php?p=2615&sid=fda88daa4b185d454aaf377c14a24db5#p2615,"Is it possible to load any of these patches intoa Nord classic 76 rev b?  If so, how?",https://www.norduserforum.com/viewtopic.php?p=7346&sid=fda88daa4b185d454aaf377c14a24db5#p7346
141845,5,fda88daa4b185d454aaf377c14a24db5,p7353,RE: Nord Stage EX/Classic Program Collection,64,mon8169,2011-09-17T07:57:05+00:00,True,https://www.norduserforum.com/viewtopic.php?p=2615&sid=fda88daa4b185d454aaf377c14a24db5#p2615,"Yes, of course. You need to have installed the usb driver and the Nord Sound Manager. If already done or when you do, come back here and we'll guide you to the rest of the process.Ramon",https://www.norduserforum.com/viewtopic.php?p=7353&sid=fda88daa4b185d454aaf377c14a24db5#p7353
141846,5,fda88daa4b185d454aaf377c14a24db5,p7361,RE: Nord Stage EX/Classic Program Collection,1671,richpace,2011-09-17T11:48:10+00:00,True,https://www.norduserforum.com/viewtopic.php?p=2615&sid=fda88daa4b185d454aaf377c14a24db5#p2615,"Roman- I have both installed.  Do I just download apatch to my hard drive, and drag and drop intoSound manager?  If so, do I replace in the program tab?Do I need to delete a program first?",https://www.norduserforum.com/viewtopic.php?p=7361&sid=fda88daa4b185d454aaf377c14a24db5#p7361
141847,5,fda88daa4b185d454aaf377c14a24db5,p7362,RE: Nord Stage EX/Classic Program Collection,64,mon8169,2011-09-17T12:09:07+00:00,True,https://www.norduserforum.com/viewtopic.php?p=2615&sid=fda88daa4b185d454aaf377c14a24db5#p2615,"Yes, you need to delete a program first, and you can drag and drop the file. To see where you can upload the program to the Stage you have to activate the ""Organize"" button.Ramon",https://www.norduserforum.com/viewtopic.php?p=7362&sid=fda88daa4b185d454aaf377c14a24db5#p7362
141848,5,fda88daa4b185d454aaf377c14a24db5,p7363,RE: Nord Stage EX/Classic Program Collection,1671,richpace,2011-09-17T12:14:38+00:00,True,https://www.norduserforum.com/viewtopic.php?p=2615&sid=fda88daa4b185d454aaf377c14a24db5#p2615,"Where is the organize button?One other question.  Is it possible to split the keyboardUsing two program patches, or two piano patches etc.?",https://www.norduserforum.com/viewtopic.php?p=7363&sid=fda88daa4b185d454aaf377c14a24db5#p7363
