unique_id,forum_id,thread_id,post_id,title,unique_user_id,username,datetime,is_it_a_reply,reply_to,post_content,post_link
123045,11,646b57feadeb3cede482447215098f13,p14531,Wanted: B3-sound,2752,Steff10er,2012-03-14T18:31:23+00:00,False,,"Hey there!I'm looking for a good B3-sound. The organ sounds B-WaveOrgan or NYC ProgOrgan are too soft for the song I want to fill. And the drive effect isn't really the solution. Can anybody help me with a program?Thanks, Steff",https://www.norduserforum.com/viewtopic.php?p=14531&sid=646b57feadeb3cede482447215098f13#p14531
123046,11,646b57feadeb3cede482447215098f13,p14612,RE: Wanted: B3-sound,800,DJKeys,2012-03-16T22:00:28+00:00,True,https://www.norduserforum.com/viewtopic.php?p=14531&sid=646b57feadeb3cede482447215098f13#p14531,"It is tough to get a convincing B3 sound out of the Wave.  You could sample one and then import it, that would probably be the best bet. Give me some idea of what you are looking for and perhaps I can sample my NS2 and make an importable sound for you.-dj",https://www.norduserforum.com/viewtopic.php?p=14612&sid=646b57feadeb3cede482447215098f13#p14612
123047,11,646b57feadeb3cede482447215098f13,p14665,RE: Wanted: B3-sound,2752,Steff10er,2012-03-18T14:06:10+00:00,True,https://www.norduserforum.com/viewtopic.php?p=14531&sid=646b57feadeb3cede482447215098f13#p14531,"Hi DJThat would be so great! Can I really ask you for this?Because it's not easy for me to explain the sound by words, I thought it would be a good idea to send you a mp3preview:Preview.mp3Please listen to the organ in the chorus.Greets, Steff",https://www.norduserforum.com/viewtopic.php?p=14665&sid=646b57feadeb3cede482447215098f13#p14665
123048,11,646b57feadeb3cede482447215098f13,p14666,RE: Wanted: B3-sound,707,Hanon_CTS,2012-03-18T15:48:26+00:00,True,https://www.norduserforum.com/viewtopic.php?p=14531&sid=646b57feadeb3cede482447215098f13#p14531,"Hi Steff,I love this songWho is it?The organ sounds like the traditional ""full organ"" or ""flat out"" with V2 or 3 and fast Leslie.However, there are some upper harmonics that don't belong, leading me to believe it's a sim instead of a real tonewheel Hammond.This will be a difficult sound to accurately reproduce with the Wave (sample) since on the original sound, the vibrato and rotary speaker effect is applied equally to all notes in the chord.In a sample, the tempos of the effects won't be as precise (from note to note)With that said, I believe that the sample can be close enough to convince 95% of listeners.Cheers, Hanon",https://www.norduserforum.com/viewtopic.php?p=14666&sid=646b57feadeb3cede482447215098f13#p14666
123049,11,646b57feadeb3cede482447215098f13,p14675,RE: Wanted: B3-sound,2752,Steff10er,2012-03-18T19:21:22+00:00,True,https://www.norduserforum.com/viewtopic.php?p=14531&sid=646b57feadeb3cede482447215098f13#p14531,"Hi Hanon,thanks a lot for your advice! You have incredible good ears.95% is good enough for a modeled sound I think.As long as the upper harmonics aren't that shrill that 10% of the listeners immediately hear a digital coldness I'm happyThe band's name is Scumbucket. The three guys come from Koblenz Germany and are my favorite alternative musicians. Unfortunately they are only known in the scene.Here is another wonderful song for you:[youtube][/youtube]Nice regards, Steff",https://www.norduserforum.com/viewtopic.php?p=14675&sid=646b57feadeb3cede482447215098f13#p14675
123050,11,646b57feadeb3cede482447215098f13,p14681,RE: Wanted: B3-sound,800,DJKeys,2012-03-18T23:45:15+00:00,True,https://www.norduserforum.com/viewtopic.php?p=14531&sid=646b57feadeb3cede482447215098f13#p14531,"It is very buried in the mix, so it is hard to tell for me that it is even a B3 at all. Anyway, I agree with Hanon that it is a full-on organ with all harmonics.Give me a week or so and I will see what I can do with it.  If you have an organ sound all alone that would be better, but this gives me some idea.",https://www.norduserforum.com/viewtopic.php?p=14681&sid=646b57feadeb3cede482447215098f13#p14681
123051,11,646b57feadeb3cede482447215098f13,p14696,RE: Wanted: B3-sound,2752,Steff10er,2012-03-19T10:45:19+00:00,True,https://www.norduserforum.com/viewtopic.php?p=14531&sid=646b57feadeb3cede482447215098f13#p14531,"Hi DJ,unfortunately I haven't an organ sound all alone. At the end of each chorus you can hear it a little better, but it's difficult. You are right.I'd also appreciate it if a sampled B3-like or full-on organ sound of your nordstage could come a little bit closer than the organ sounds of the wave.Please take all the time you need. We are in no hurry. I'm very happy about your help!Nice greets, Steff",https://www.norduserforum.com/viewtopic.php?p=14696&sid=646b57feadeb3cede482447215098f13#p14696
123052,11,646b57feadeb3cede482447215098f13,p14712,RE: Wanted: B3-sound,800,DJKeys,2012-03-19T15:00:41+00:00,True,https://www.norduserforum.com/viewtopic.php?p=14531&sid=646b57feadeb3cede482447215098f13#p14531,"OK, you got it.  I will be in touch--dj",https://www.norduserforum.com/viewtopic.php?p=14712&sid=646b57feadeb3cede482447215098f13#p14712
123053,11,646b57feadeb3cede482447215098f13,p14732,RE: Wanted: B3-sound,800,DJKeys,2012-03-20T03:22:54+00:00,True,https://www.norduserforum.com/viewtopic.php?p=14531&sid=646b57feadeb3cede482447215098f13#p14531,"OK, I worked on this tonight. I sampled the B3 model from my NS2,  all drawbars wide open, no effects, leslie slow (with a little drive), and I added extra high (as Hanon noted, unnatural) harmonics because you can always use the filters to take harmonics out, but you can never add harmonics that were never there to begin with. I sampled 10 notes for 10 seconds each, a fourth apart and looped them. The file is fairly large (8MB) so it takes a while to download. Again, Hanon was right, as the sound gets a little weird when the loop engages, but it is still usable, and most times you will not be pressing the same key for more than 10 seconds anyway. I then programmed a quick patch in the Wave using the sample in both slots (making it great is your job, Steff LOL) and I think the results are usable for sure, cuts through pretty good.-dj",https://www.norduserforum.com/viewtopic.php?p=14732&sid=646b57feadeb3cede482447215098f13#p14732
123054,11,646b57feadeb3cede482447215098f13,p14733,RE: Wanted: B3-sound,707,Hanon_CTS,2012-03-20T03:43:00+00:00,True,https://www.norduserforum.com/viewtopic.php?p=14531&sid=646b57feadeb3cede482447215098f13#p14531,"DJKeys wrote:OK, I worked on this tonight. I sampled the B3 model from my NS2,  all drawbars wide open, no effects, leslie slow, and I added extra high (as Hanon noted, unnatural) harmonics because you can always use the filters to take harmonics out, but you can never add harmonics that were never there to begin with. I sampled 10 notes for 10 seconds each, a fourth apart and looped them. The file is fairly large (8MB) so it takes a while to download. Again, Hanon was right, as the sound gets a little weird when the loop engages, but it is still usable, and most times you will not be pressing the same key for more than 10 seconds anyway. I then programmed a quick patch in the Wave using the sample in both slots (making it great is your job, Steff LOL) and I think the results are usable for sure, cuts through pretty good.-djI just wanted to say how awesome it is that you took time to do this.",https://www.norduserforum.com/viewtopic.php?p=14733&sid=646b57feadeb3cede482447215098f13#p14733
123055,11,646b57feadeb3cede482447215098f13,p14755,RE: Wanted: B3-sound,800,DJKeys,2012-03-20T15:58:40+00:00,True,https://www.norduserforum.com/viewtopic.php?p=14531&sid=646b57feadeb3cede482447215098f13#p14531,"My pleasure, this is a great forum.-dj",https://www.norduserforum.com/viewtopic.php?p=14755&sid=646b57feadeb3cede482447215098f13#p14755
123056,11,646b57feadeb3cede482447215098f13,p14762,RE: Wanted: B3-sound,2752,Steff10er,2012-03-20T17:28:50+00:00,True,https://www.norduserforum.com/viewtopic.php?p=14531&sid=646b57feadeb3cede482447215098f13#p14531,"Hey DJ,first of all your B3-sound is much better than I hoped for.Thank you very, very much for your work. I only can repeat what Hanon said and say thank you not only for the sample but for the program!It's such a big help for me. I'm really grateful. I can even use your sound on our gig on Friday night now.Steff",https://www.norduserforum.com/viewtopic.php?p=14762&sid=646b57feadeb3cede482447215098f13#p14762
123057,11,646b57feadeb3cede482447215098f13,p14763,RE: Wanted: B3-sound,800,DJKeys,2012-03-20T17:30:51+00:00,True,https://www.norduserforum.com/viewtopic.php?p=14531&sid=646b57feadeb3cede482447215098f13#p14531,"Hey, Steff-My pleasure, glad it is going to work for you.  Have a great gig on Friday!-dj",https://www.norduserforum.com/viewtopic.php?p=14763&sid=646b57feadeb3cede482447215098f13#p14763
123058,11,646b57feadeb3cede482447215098f13,p184416,RE: Wanted: B3-sound,40165,Jesse22,2025-09-25T06:55:52+00:00,True,https://www.norduserforum.com/viewtopic.php?p=14531&sid=646b57feadeb3cede482447215098f13#p14531,Thank you very much!Jesse,https://www.norduserforum.com/viewtopic.php?p=184416&sid=646b57feadeb3cede482447215098f13#p184416
123059,11,646b57feadeb3cede482447215098f13,p184383,Nord Wave 2 Midi Clock from Ableton,42551,doesanyoneelsee,2025-09-23T13:05:39+00:00,False,,"Hey guys!I have been using Wave 2 for a bit. And recently I tried connecting Wave 2 to Ableton via USB.Receiving Midi notes works fine so I can easily send midi signals to play clips on my Ableton, however I am having difficulty syncing the tempo (MIDI CLOCK) from Ableton to Nord Wave 2.This might be a stupid question but whenever Iong press on the tempo button, all I can see is 'Rate (internal)' and it seems like there is no way to change it to external or so.How can i sync the midi clock from my Ableton to Nord Wave 2 via USB?Thank you so much for your answers in advance!",https://www.norduserforum.com/viewtopic.php?p=184383&sid=646b57feadeb3cede482447215098f13#p184383
123060,11,646b57feadeb3cede482447215098f13,p184384,RE: Nord Wave 2 Midi Clock from Ableton,1140,maxpiano,2025-09-23T13:51:07+00:00,True,https://www.norduserforum.com/viewtopic.php?p=184383&sid=646b57feadeb3cede482447215098f13#p184383,"Hello and welcome to NUFAnswer is at page 14 of NW2 manualhttps://www.nordkeyboards.com/wt/docume ... on%20G.pdfEXTERNAL SYNCThe Master Clock on the Wave 2 can be controlled by incoming MIDIclock messages.This is an automatic behavior: as soon as the Wave 2receives MIDI clock on the MIDI input or the USB MIDI input, the MasterClock will be synchronized to the incoming external clock.When the Master Clock is locked to an incoming clock, “MIDI” will beshown in the display if MST CLK is pressed, together with the incomingtempo in BPM.so you should first check on Ableton side, i.e. use a MIDI Monitor app on the computer to be sure that Ableton is actually sending MIDI Clock messages to the port of NW2 USB MIDI and change Ableton settings if this is not happening (I don't use Ableton so I cannot indicate exactly where, but I am sure there are guides and tutorials around about this + Ableton manuals).",https://www.norduserforum.com/viewtopic.php?p=184384&sid=646b57feadeb3cede482447215098f13#p184384
123061,11,646b57feadeb3cede482447215098f13,p184370,Nord wave 2 mod wheel problem,27276,Araakan,2025-09-21T15:28:09+00:00,False,,"The mod wheel in Nord Wave 2 suddenly stopped working. For example, when I assign a set to the mod wheel, I set the volume to +12, but it stays at +3, not fulfilling its function properly, and stays at +3.",https://www.norduserforum.com/viewtopic.php?p=184370&sid=646b57feadeb3cede482447215098f13#p184370
123062,11,646b57feadeb3cede482447215098f13,p184371,RE: Nord wave 2 mod wheel problem,1140,maxpiano,2025-09-21T16:01:13+00:00,True,https://www.norduserforum.com/viewtopic.php?p=184370&sid=646b57feadeb3cede482447215098f13#p184370,"Hello and welcome to NUF...It could be a problem of loose connector (the one that connects the MW to the mainboard), you have to open your NW2 and inspect it (or take to service if stil under warranty and you don't want to make it invalid by opening the NW2 by yourself), if you search the forum you will find some other cases.",https://www.norduserforum.com/viewtopic.php?p=184371&sid=646b57feadeb3cede482447215098f13#p184371
123063,11,646b57feadeb3cede482447215098f13,p184190,Rearranging nord wave 1 samples,21442,jazzcat88,2025-09-05T17:08:12+00:00,False,,Hey! I got used rearranging samples in the manager with my ns2 and ns3 and not having it affect the programs. Yesterday I did that with my wave 1 and forgot that it does’t work the same way and now some programs have the wrong samples and I can’t remember what the right ones were. Is there any way to reconnect them? And does anyone have any tips on how you work with that limitation?Thx!,https://www.norduserforum.com/viewtopic.php?p=184190&sid=646b57feadeb3cede482447215098f13#p184190
123064,11,646b57feadeb3cede482447215098f13,p131596,Anyone also disappointed by the W2?,29160,jkostera,2020-06-14T18:47:11+00:00,False,,"Has anyone else been disappointed here by the Wave2 in the flesh? I’m absolutely astounded at how crap it is in certain respects compared to the recent Nord output. Coming off of the brilliant NS3C my expectations were pretty high but the W2 left a lot to be desired.Here’s what I’ve run into in roughly a week with this thing:[*]Drifting master clock (counter-tested with different gear including my NS3C)[*]Generally, there's a boatload of bugs that occur all the time (not even the latest patch seemed to have fixed these), I've had so many instances of the instruments going haywire, hanging notes/chords, inexplicable effects behaviour etc[*]the presets feel as an afterthought compared to any other nord I’ve used[*]vastly inferior detune settings (PARTICULARLY salty about this one since I used to use this a lot on my Stage)[*]some of the ways Drive & Reverb effects seem to affect the sound are imho much less nuanced compared to the A1 / StageThis is about the 7th Nord I’ve used extensively & overall, I’m really disappointed & surprised that this is what we got for a second iteration of a great synth. Let me know what you think)",https://www.norduserforum.com/viewtopic.php?p=131596&sid=646b57feadeb3cede482447215098f13#p131596
123065,11,646b57feadeb3cede482447215098f13,p131602,RE: Anyone also disappointed by the W2?,800,DJKeys,2020-06-14T21:27:41+00:00,True,https://www.norduserforum.com/viewtopic.php?p=131596&sid=646b57feadeb3cede482447215098f13#p131596,"Hi, JKostera-I for one am not disappointed at all.  I think the Wave 2 is a really logical and well-thought next step in the product line.Here are my thoughts on your comments:Master Clock-Have not tested it, but use it for a number of time-based arpeggiator patches and never noticed any drift.Please let us know the bugs you are experiencing, as I have spend 40-50 hours with the instrument and have not encountered them. I did have a couple of hung notes but not since 1.10.I agree that user presets are not fantastic and probably not meant to be. Getting a unit to market in a certain time frame shortens programming time. I kept about 80 of them and deleted the rest. Even in my Stage 3 I deleted all of them before I started programming patches.  So far I have not used a single factory preset in either instrument.I think the Layer detune settings are excellent.  In fact in my opinion they are the best of any of the six Nord instruments I have had. You have a different experience, though.I also agree that the drive and reverb could be better, but I have the opposite opinion, that the drive is too nuanced and does not affect the sound as much as it does in my NS3. I think the Cathedral reverb is something I would pretty much never use, would prefer two Stage reverbs like the NS 3.-dj",https://www.norduserforum.com/viewtopic.php?p=131602&sid=646b57feadeb3cede482447215098f13#p131602
123066,11,646b57feadeb3cede482447215098f13,p131619,RE: Anyone also disappointed by the W2?,29165,7thheaven,2020-06-15T11:04:28+00:00,True,https://www.norduserforum.com/viewtopic.php?p=131596&sid=646b57feadeb3cede482447215098f13#p131596,"I LOVE Nord keyboards, however I had to return my Wave 2.The weight of the keys were really hard on my hands.  I was actually having a hard time playing this key bed.The Sound Presets did seem like an after thought.  The initial string pad was excellent, many others were lacking.I felt the price was high for this keyboard.I hope they fix the keyed for version 3.",https://www.norduserforum.com/viewtopic.php?p=131619&sid=646b57feadeb3cede482447215098f13#p131619
123067,11,646b57feadeb3cede482447215098f13,p131715,RE: Anyone also disappointed by the W2?,27627,tsss27,2020-06-18T19:46:17+00:00,True,https://www.norduserforum.com/viewtopic.php?p=131596&sid=646b57feadeb3cede482447215098f13#p131596,What is the difference between the detune on the S3 and W2? I would think they'd be roughly the same.,https://www.norduserforum.com/viewtopic.php?p=131715&sid=646b57feadeb3cede482447215098f13#p131715
123068,11,646b57feadeb3cede482447215098f13,p131718,RE: Anyone also disappointed by the W2?,800,DJKeys,2020-06-18T21:05:40+00:00,True,https://www.norduserforum.com/viewtopic.php?p=131596&sid=646b57feadeb3cede482447215098f13#p131596,Unlike the Detuned oscillator function in the NS3 (which does have a limited range of fattening the sound) the W2 allows each layer to be detuned up or down + or - 50 cents.  Extremely useful--dj,https://www.norduserforum.com/viewtopic.php?p=131718&sid=646b57feadeb3cede482447215098f13#p131718
123069,11,646b57feadeb3cede482447215098f13,p131746,RE: Anyone also disappointed by the W2?,27627,tsss27,2020-06-20T02:49:10+00:00,True,https://www.norduserforum.com/viewtopic.php?p=131596&sid=646b57feadeb3cede482447215098f13#p131596,"Ok, so just to clarify, because the Stage 3 cannot do this... Can I load one of the shape oscillators and also detune this by a custom amount (within that range, of course) or is the detune still limited to certain oscillator types. That was one of my biggest issues with the NS3 synth, you couldn't have precise detune if you wanted to do anything else with that oscillator.",https://www.norduserforum.com/viewtopic.php?p=131746&sid=646b57feadeb3cede482447215098f13#p131746
123070,11,646b57feadeb3cede482447215098f13,p131749,RE: Anyone also disappointed by the W2?,800,DJKeys,2020-06-20T03:39:09+00:00,True,https://www.norduserforum.com/viewtopic.php?p=131596&sid=646b57feadeb3cede482447215098f13#p131596,"The detune function is available for all of the engines, Analog waveforms, Wavetable, FM and Samples.-dj",https://www.norduserforum.com/viewtopic.php?p=131749&sid=646b57feadeb3cede482447215098f13#p131749
