unique_id,forum_id,thread_id,post_id,title,unique_user_id,username,datetime,is_it_a_reply,reply_to,post_content,post_link
174289,25,1295a4e656b2244f1ec7559aaf665aec,p184557,"Downtime, synth pop while wearing a sling",29293,tetra,2025-10-12T20:27:12+00:00,False,,"I wrote the bulk of the melody and chord sequence of this song while wearing a sling after shoulder surgery a few months ago. That led to a somewhat different type of process for me where I recorded simple melodies one-handed (… yeah - who am I kidding; all my melodies are simple).Even though this track doesn’t have any Nord sounds on it, the NS3 always plays a big part for me. I play the keys for a lot of the synth parts on it and record the MIDI and then print the audio from other hardware or plugins. The NS3 has a wonderful keyboard and has inspiring sounds that help with the process.This video attempts to show some of the parts and pieces that went into the track. I have additional explanations in the description within YouTube.The mastering was done by Shawn Hatfield",https://www.norduserforum.com/viewtopic.php?p=184557&sid=1295a4e656b2244f1ec7559aaf665aec#p184557
174290,25,1295a4e656b2244f1ec7559aaf665aec,p184231,New to Forum - New to nord...,42477,P A U L,2025-09-08T22:14:15+00:00,False,,"Hi, just joined...I'm new here, but, not to Internet forums (been around since usenet days). I'm new to nord, but not to piano & music. I have a long history, but...here goes:I started music in 2nd grade ('72), w/ the (Bb) clarinet in elementary school. I learned how to read basic. I also, was brought up, by my mother singing in the church choir, & in 2nd grade, when I joined band, I also joined the school chorus. I learned pretty well, when in 3rd grade, the chorale teacher recommended me for high school honor chorale. So, I would get bused over to the local HS water school & did a little touring w/ the HS Honor Chorale.3rd grade was transformative for me, as I started my rebellious streak, I didn't get along w/ my 3rd grade teacher, who was also the chorale teacher. So, I wasn't getting along & I didn't like the songs, so I quit. I also quit band & while still going to school, checked out, because I was bored.So, I pretty much dropped all of that & in HS (10th grade - around '83), I decided I wanted to be a guitar player. Taught myself, & all my friends thought I was the greatest, but...  we all know better, eh?  I was a semi-decent hack.A couple years after HS, I decided to straighten out y life & ended up in a huge circle of musicians. In this circle (SoCal - LA area) The demographic was something like guitarists 90+%, vocals 2-3%, drummers 1-2%, keyboards 1-2% & there was 2 bass players. I saw myself as maybe avg, or maybe a little less, in the pool of guitar players, & a friend of mine's band needed a bass player. So, I started learning how to play bass. The band leader was a guitarist, that was a drum major in school, so he learned drum theory, subdivisions, etc. he coached me to play bass, to play along w/ the drums, not to just be a bass note guitarist, staying on the root.So, I played bass, for 15 years on a professional level. In that, I was introduced to a small amount of keyboards. I had a little Casio, as a kid, & taught myself the notes, so, I already had that knowledge, & could play easy chordings to back a small part here & there (the band had a Roland D50). Towards the end of that period, I bought myself a Roland XP10, but, after the band split up, I never really played it. In 30 years, I've probably played that thing less than 50 hours...A couple years ago, I decided I wanted to finally get serious about learning, so I started looking for an electric piano, w/ weighted keys. I picked up an old Roland that, I guess was semi-weighted, & not very inspiring. It did get me back into it though, but, not really enough to keep me going (lasted about 6 months)...Last year, I decided, hell or high-water, I wanted to get serious about it. So, I started scouring the internet looking to see what keyboards are considered ""best"" in the upper class of keyboards. Obviously, being into musical instruments & other audio/video gear, there really is no best, but there's top of the line & a few different brands w/ different philosophies. It was up to me to find the best for me, based on what I wanted, my philosophy, & who had what I wanted, & then look around for best bang-for-buck...After months of educating myself, looking at weighted keys, best hammer action, sounds, etc., I saw a pawn shop selling a piano5 for $2200. I went & checked it out, & offered $2000 & he took it. It didn't have the nord 3 pedal, but had a 3rd party single. I ended up buying the nord 3 pedal.So, now I have the piano5. I'm still a hack, albeit, a semi-educated hack, as far as the world of music goes, & especially piano playing.I play guitar, bass, piano, violin, cello, harmonica, & sing a little. I should have been a great singer, but, not keeping up with/ it, you lose it, & I have a problem w/ laryngal collapse, that gives me sleep apnea, & has affected my voice, where I don't get the range I once had, plus... getting older. So, I do play a lot of things & can pick them up easily, but, I'm not great, at any of them. For the most part, I can hold my own & be a team player.My playing style in music has always been aggressive when needed, & soft & subtle, also, when needed. I am tending to gravitate towards classical sounds on piano, but, I am a (heavy) metal head at heart. I have always like rhythmic playing, & harmony.I have been playing on the nord, since last early Dec. I was playing it through my Yamaha studio monitors, through a Neve interface. I decided to buy some dedicated speakers, & bought a set of QSC K12.2 w/ KS112 sub's. Kind of nuts, having this (8,000 watts) for my living room, but... the sound is awesome. I am using a mix of 2 grand pianos (white & silver) & 2 string sounds (symphonic strings legato & mellotron 3 violins) a little delay & cathedral reverb...Hopefully, I'll be doing a program, where I'll be playing some piano/keyboard, before too long & also playing some guitar/possible singing. This is why I joined. I have some questions, &... they seem like the most elementary to getting going on performance, but I haven't found the answers yet browsing through the forum yet, so, I'll probably be asking a few things.Anyway, glad to be here & look forward to being a part of the community, if there's any way I can help, I'll be glad to, but, as of now, I'm the n00b...Cheers!P A U L",https://www.norduserforum.com/viewtopic.php?p=184231&sid=1295a4e656b2244f1ec7559aaf665aec#p184231
174291,25,1295a4e656b2244f1ec7559aaf665aec,p184492,RE: New to Forum - New to nord...,39886,madmaxtheking,2025-10-02T09:16:11+00:00,True,https://www.norduserforum.com/viewtopic.php?p=184231&sid=1295a4e656b2244f1ec7559aaf665aec#p184231,"Hi Paul,You mentioned being drawn toward classical sounds on piano but still being a metal head at heart. Have you ever experimented with blending those two worlds on the NordPips NYT? Like layering orchestral textures with more aggressive rhythmic patterns to echo your metal roots? I feel like your background on bass and guitar could give you a pretty unique approach to that.",https://www.norduserforum.com/viewtopic.php?p=184492&sid=1295a4e656b2244f1ec7559aaf665aec#p184492
174292,25,1295a4e656b2244f1ec7559aaf665aec,p184505,RE: New to Forum - New to nord...,42477,P A U L,2025-10-03T23:38:35+00:00,True,https://www.norduserforum.com/viewtopic.php?p=184231&sid=1295a4e656b2244f1ec7559aaf665aec#p184231,"madmaxthekingwrote:↑02 Oct 2025, 11:16Hi Paul,You mentioned being drawn toward classical sounds on piano but still being a metal head at heart. Have you ever experimented with blending those two worlds on the NordPips NYT? Like layering orchestral textures with more aggressive rhythmic patterns to echo your metal roots? I feel like your background on bass and guitar could give you a pretty unique approach to that.definitely...I'm a big fan of John Paul Jones & Don Airey to name a couple of keyboardists. I follow Derek Sherinian & have been listening to TSO a lot lately. They have some great keyboard players as well...  they had one guy, who recently passed away, named Vitaly, that was a classical genius. I've played w/ a few great keyboardists as well, but never thought to get into it back then.I'm still a schlep though, I have a lot to learn...",https://www.norduserforum.com/viewtopic.php?p=184505&sid=1295a4e656b2244f1ec7559aaf665aec#p184505
174293,25,1295a4e656b2244f1ec7559aaf665aec,p184070,New nord user :),42384,Maro94,2025-08-27T07:52:47+00:00,False,,"Hello,Just to introduce myself. My name is Mario and I am from Croatia. I bought a Nord Electro 6D 3 days ago and so far I am delighted. Its my first NordNow I am going to continue reading this forum and learning about this keyboard and some tricks n tipsGood day!",https://www.norduserforum.com/viewtopic.php?p=184070&sid=1295a4e656b2244f1ec7559aaf665aec#p184070
174294,25,1295a4e656b2244f1ec7559aaf665aec,p184071,RE: New nord user :),22919,Schorsch,2025-08-27T14:07:34+00:00,True,https://www.norduserforum.com/viewtopic.php?p=184070&sid=1295a4e656b2244f1ec7559aaf665aec#p184070,"Welcome Mario!You joined (IMHO) one of the world's best forums with many very knowledgeable and helpful users - don't hesitate to ask any questions you might have.Just one first and important advice: read the Nord Electro 6D manual first and carefully, it's very good and gives you a good foundation of know how. Then make yourself familiar not just with the Elcetro 6D but also with the Nord Sound Manager software to understand how it works, you can easily manage the sound library which is on your Nord Electro.Have a great start!",https://www.norduserforum.com/viewtopic.php?p=184071&sid=1295a4e656b2244f1ec7559aaf665aec#p184071
174295,25,1295a4e656b2244f1ec7559aaf665aec,p124364,Your Lifetime Of Keyboards,27167,hilbilly parade,2019-11-29T16:35:39+00:00,False,,Little list of everything I have ever owned no particular order however the ct 310 was the 1st. ( Your Turn Now )Sooo I upped the stakes I  have highlighted only 5 that if forced to choose you would keep.Casio Ct 310Casio WK-3300Casio CTK 7200Casio VZ 1Roland D-50Roland S 330Roland Vr 09Roland Juno 106Roland Juno DS 61Korg Poly 61Korg TritonKorg BX 3Alesis FusionHammond XK-3Yamaha DX 100Yamaha SK 20Yamaha CP 33Yamaha  MOXF 61Yamaha S 80Yamaha P-125Nord Stage 3 Compact,https://www.norduserforum.com/viewtopic.php?p=124364&sid=1295a4e656b2244f1ec7559aaf665aec#p124364
174296,25,1295a4e656b2244f1ec7559aaf665aec,p124366,RE: Your Lifetime Of Keyboards,20797,ajstan,2019-11-29T17:26:22+00:00,True,https://www.norduserforum.com/viewtopic.php?p=124364&sid=1295a4e656b2244f1ec7559aaf665aec#p124364,"Fun topic idea!  Here’s my gear:Keyboards & ModulesHammond: E100Yamaha: DX100, DX21, DX7s, DX7-IIFD, RX-17, QX21, DTX502 (still have), MODX7Roland: S-50, JV-1080, Juno-DS61Ensoniq: SQ-80Emu: Proteus 1Casio: PX-330OtherAlesis: SR-16 (still have), Microverb II, Vortex Wireless 2JL Cooper: MSB+ Rev 2Behringer: XR-18Kawai: MX8-SRQSC: K8.2 pairBose: L1 Compact, T1 TonematchCurrent equipment is in my signature.",https://www.norduserforum.com/viewtopic.php?p=124366&sid=1295a4e656b2244f1ec7559aaf665aec#p124366
174297,25,1295a4e656b2244f1ec7559aaf665aec,p124368,RE: Your Lifetime Of Keyboards,22919,Schorsch,2019-11-29T17:47:01+00:00,True,https://www.norduserforum.com/viewtopic.php?p=124364&sid=1295a4e656b2244f1ec7559aaf665aec#p124364,"Uhh - have to think hard .... I think these are all, in the order of purchase date (* means current gear)Wersi Zenith (built/soldered/assembled by my own when I was 14 years old)Yamaha YC-25DRoland D50Korg M1Roland A-33*Roland JV-1080Roland JV-2080Roland XV-5080Kurzweil MicroPianoKawai BL-61 Acoustic Upright Piano*Roland Fantom FA-76Roland Fantom X7Yamaha MO6Yamaha MX61Yamaha MOXF8Yamaha Motif XF6Yamaha Motif XF7 WH*Nord Stage 2EX-88*Nord Stage 3 Compact*Nord Stage 3-88*",https://www.norduserforum.com/viewtopic.php?p=124368&sid=1295a4e656b2244f1ec7559aaf665aec#p124368
174298,25,1295a4e656b2244f1ec7559aaf665aec,p124377,RE: Your Lifetime Of Keyboards,deleted,LewTheKeysGuy,2019-11-29T20:08:48+00:00,True,https://www.norduserforum.com/viewtopic.php?p=124364&sid=1295a4e656b2244f1ec7559aaf665aec#p124364,"ok, let's see....Early years...Casio CTK 1000 (interesting for it's sound scape all those 25 years or so ago),Yamaha PSR9000Pro (decent arranger).Korg 01WProX (first master piano which I still owned until December 2017)The serious stuff: (Studio / Production environment until December 2017)Korg 01WProX, 01R, M1REX, M1, Wavestation A/D, Wavestation SR, Trinity Rack, Triton Rack fully expanded.Roland: D50 x2, D550 x2 with expansion boards, JD990 Rack, XV5080, JV880, Integra 7, Fantom XR.Yamaha: A5000 x 2, Motif ES Rack, Motif Rack, TG500 rack, AN1X, VL70M with WX5.Kurzweil: K2600SX, K2500 rack.AKAI: S6000 expanded, Z8.Novation: Supernova 2 ProX rack,Nord: Lead 1, Lead 1 rack, lead 2 rack, lead 3 rack, lead 4 rack, Lead A1 Rack, Stage 2-88.Waldorf: Q Rack.Allen: 3 manual digital (transistor) organ recovered from a catholic school after I left for Music College (required servicing - was restored)nearly everything was rack based, besides some master keyboards.Sadly, all this was sold after dad passed away, Saturday 7th December is the 2nd anniversary (passed Thursday 7th December 2017). The sale was to save our home or be homeless.",https://www.norduserforum.com/viewtopic.php?p=124377&sid=1295a4e656b2244f1ec7559aaf665aec#p124377
